,location,name,url,score,description,latitude,longitude
0,Le Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html, 8.1 ,"Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...",48.6147004862904,-1.50961697101593
1,Le Mont Saint Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html, 8.2 ,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...",48.6142465295929,-1.51054501533508
2,Le Mont Saint Michel,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html, 7.1 ,"L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ",48.6168815494412,-1.51091784238815
3,Le Mont Saint Michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html, 7.3 ,"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ",48.6129378347065,-1.51010513305664
4,Le Mont Saint Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html, 7.3 ,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ",48.6353494256412,-1.51037871837616
5,Le Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html, 7.8 ,Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ,48.6175872716489,-1.51039615273476
6,Le Mont Saint Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html, 8.1 ,"L'Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel et à seulement 25 minutes à pied des remparts de la vieille ville. ",48.6153814136834,-1.5107099711895
7,Le Mont Saint Michel,CAMPING AUX POMMIERS - TOHAPI,https://www.booking.com/hotel/fr/camping-aux-pommiers-tohapi.fr.html, 8.3 ,"Situé au Mont-Saint-Michel, en Basse-Normandie, le CAMPING AUX POMMIERS - TOHAPI propose un hébergement avec un parking privé gratuit. ",48.613555,-1.5101
8,Le Mont Saint Michel,La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html, 7.4 ,"La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. ",48.636063,-1.511457
9,Le Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html, 7.2 ,"Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ",48.6360229844471,-1.50989592075348
10,Le Mont Saint Michel,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html, 7.6 ,"Installé au cœur du village médiéval du Mont-Saint-Michel, l'Hôtel La Croix Blanche comprend un bar et une terrasse. ",48.6357340642713,-1.50986105203629
11,Le Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html, 8.1 ,"L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. ",48.6356879786914,-1.5098825097084
12,Le Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html, 7.3 ,"Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. ",48.635085317234,-1.51053965091705
13,Le Mont Saint Michel,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.fr.html, 8.4 ,"Situé dans la campagne normande, cet hôtel vous propose une connexion Wi-Fi gratuite et un restaurant doté d'une terrasse sur place. ",48.6159931765559,-1.48825317621231
14,Le Mont Saint Michel,Chambres d'Hôtes Les Vieilles Digues,https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html, 9.4 ,"Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. ",48.604187504415,-1.51159912347794
15,Le Mont Saint Michel,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,https://www.booking.com/hotel/fr/residence-fleurdumont.fr.html, 8.0 ,"La Résidence Fleurdumont vous propose un hébergement accueillant volontiers les animaux domestiques. Il est situé à Beauvoir, à 4,4 km de l’abbaye du Mont-Saint-Michel. ",48.596482169807,-1.5031469166023
