,city,latitude,longitude,place_id,rain,current_T,humidity,T_J1,T_J2,T_J3,T_J4,T_J5,T_J6,T_J7,W_J1,W_J2,W_J3,W_J4,W_J5,W_J6,W_J7,H_J1,H_J2,H_J3,H_J4,H_J5,H_J6,H_J7,T_mean_C
0,Le Mont-Saint-Michel,48.6355232,-1.5102571,16352716,17.2199,0.8799999999999955,78,3.6100000000000136,1.1400000000000432,9.439999999999998,9.740000000000009,10.200000000000045,10.230000000000018,-0.22999999999996135,Clouds,Clouds,Rain,Rain,Rain,Rain,Rain,56,55,90,97,89,85,89,6.304285714285738
1,Saint-Malo,48.649518,-2.0260409,121999,12.989700000000001,0.6400000000000432,93,2.4700000000000273,0.7400000000000091,7.1299999999999955,10.07000000000005,10.57000000000005,10.580000000000041,0.8900000000000432,Clouds,Clouds,Rain,Rain,Rain,Rain,Rain,63,58,96,97,87,79,67,6.064285714285745
2,Bayeux,49.2764624,-0.7024738,3126290,16.926,1.2100000000000364,76,0.9399999999999977,1.3900000000000432,10.270000000000039,10.310000000000002,9.939999999999998,10.300000000000011,-0.6699999999999591,Clouds,Clouds,Clouds,Rain,Rain,Rain,Snow,59,52,81,88,84,83,77,6.068571428571447
3,Le Havre,49.4938975,0.1079732,17564290,25.5902,2.340000000000032,87,0.28000000000002956,-0.3299999999999841,6.080000000000041,7.900000000000034,9.600000000000023,10.189999999999998,-0.45999999999997954,Clear,Clouds,Rain,Rain,Rain,Rain,Snow,61,57,85,91,88,82,83,4.751428571428595
4,Rouen,49.4404591,1.0939658,281721777,24.1982,5.910000000000025,83,0.4300000000000068,-0.08999999999997499,5.5,7.800000000000011,10.480000000000018,10.300000000000011,-1.579999999999984,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,54,53,84,97,81,79,69,4.691428571428584
5,Paris,48.8588897,2.3200410217200766,281739181,21.832900000000002,5.0400000000000205,84,0.4300000000000068,0.18999999999999773,4.970000000000027,5.82000000000005,9.800000000000011,10.430000000000007,-1.8199999999999932,Clear,Clouds,Clouds,Rain,Rain,Rain,Rain,53,53,80,99,77,74,63,4.260000000000015
6,Amiens,49.8941708,2.2956951,281746639,26.7275,3.3100000000000023,72,0.7100000000000364,-1.0600000000000023,3.8100000000000023,7.020000000000039,9.57000000000005,9.689999999999998,-2.4699999999999704,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,53,56,82,95,84,82,64,3.8957142857143077
7,Lille,50.6365654,3.0635282,282028769,34.05,5.170000000000016,74,1.3900000000000432,0.020000000000038654,1.3799999999999955,6.8799999999999955,6.990000000000009,6.470000000000027,-2.42999999999995,Clear,Clouds,Clouds,Clouds,Rain,Rain,Clouds,53,52,73,93,85,88,64,2.95714285714288
8,Strasbourg,48.584614,7.7507127,121990,17.2592,3.080000000000041,93,1.6000000000000227,0.6000000000000227,0.040000000000020464,3.920000000000016,7.330000000000041,10.520000000000039,3.2000000000000455,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,61,61,55,75,78,64,92,3.8871428571428868
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,117144990,19.6657,-0.3100000000000023,81,-1.0,-1.1200000000000045,1.75,3.680000000000007,6.430000000000007,6.5400000000000205,4.170000000000016,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,59,57,64,78,75,66,94,2.921428571428578
10,Colmar,48.111095000000006,7.363622702110888,281826068,18.5626,3.160000000000025,81,1.9700000000000273,1.8000000000000114,4.490000000000009,6.3700000000000045,9.920000000000016,11.260000000000048,7.210000000000036,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,61,57,60,75,75,65,94,6.145714285714307
11,Eguisheim,48.0377622,7.317521300603902,282202896,18.833199999999998,3.2800000000000296,81,2.1299999999999955,2.1000000000000227,5.310000000000002,6.7000000000000455,10.090000000000032,11.170000000000016,7.220000000000027,Clear,Clouds,Clouds,Rain,Rain,Rain,Snow,61,56,60,75,74,66,93,6.388571428571448
