,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-04-05 00:00:00,40.7594,-73.9641,B02512,0,Saturday,April,0
1,2014-04-05 00:02:00,40.806,-73.9652,B02512,0,Saturday,April,0
2,2014-04-05 00:04:00,40.7073,-74.0088,B02512,0,Saturday,April,0
3,2014-04-05 00:05:00,40.7594,-73.989,B02512,0,Saturday,April,0
4,2014-04-05 00:07:00,40.7278,-73.9853,B02512,0,Saturday,April,0
5,2014-04-05 00:11:00,40.7358,-74.0007,B02512,0,Saturday,April,0
6,2014-04-05 00:14:00,40.758,-73.9753,B02512,0,Saturday,April,0
7,2014-04-05 00:15:00,40.7735,-73.9079,B02512,0,Saturday,April,0
8,2014-04-05 00:21:00,40.733,-73.9873,B02512,0,Saturday,April,0
9,2014-04-05 00:23:00,40.7474,-73.9853,B02512,0,Saturday,April,0
10,2014-04-05 00:24:00,40.7399,-74.0302,B02512,0,Saturday,April,0
11,2014-04-05 00:24:00,40.7655,-73.9713,B02512,0,Saturday,April,0
12,2014-04-05 00:25:00,40.7074,-73.9538,B02512,0,Saturday,April,0
13,2014-04-05 00:29:00,40.734,-74.0003,B02512,0,Saturday,April,0
14,2014-04-05 00:34:00,40.706,-74.0085,B02512,0,Saturday,April,0
15,2014-04-05 00:40:00,40.7431,-73.9891,B02512,0,Saturday,April,0
16,2014-04-05 00:41:00,40.7222,-73.9917,B02512,0,Saturday,April,0
17,2014-04-05 00:43:00,40.7695,-73.9641,B02512,0,Saturday,April,0
18,2014-04-05 00:43:00,40.7339,-73.9899,B02512,0,Saturday,April,0
19,2014-04-05 00:44:00,40.7526,-73.9728,B02512,0,Saturday,April,0
20,2014-04-05 00:46:00,40.7191,-73.9903,B02512,0,Saturday,April,0
21,2014-04-05 00:48:00,40.6778,-74.0147,B02512,0,Saturday,April,0
22,2014-04-12 00:00:00,40.748,-73.987,B02512,0,Saturday,April,0
23,2014-04-12 00:03:00,40.7268,-73.9834,B02512,0,Saturday,April,0
24,2014-04-12 00:08:00,40.7436,-74.029,B02512,0,Saturday,April,0
25,2014-04-12 00:13:00,40.727,-73.9839,B02512,0,Saturday,April,0
26,2014-04-12 00:14:00,40.734,-73.9897,B02512,0,Saturday,April,0
27,2014-04-12 00:15:00,40.7177,-73.9494,B02512,0,Saturday,April,0
28,2014-04-12 00:17:00,40.7323,-73.9807,B02512,0,Saturday,April,0
29,2014-04-12 00:21:00,40.7676,-73.9305,B02512,0,Saturday,April,0
30,2014-04-12 00:23:00,40.6752,-73.9599,B02512,0,Saturday,April,0
31,2014-04-12 00:25:00,40.7224,-73.9972,B02512,0,Saturday,April,0
32,2014-04-12 00:30:00,40.7409,-74.005,B02512,0,Saturday,April,0
33,2014-04-12 00:32:00,40.7413,-73.9929,B02512,0,Saturday,April,0
34,2014-04-12 00:33:00,40.7371,-74.0287,B02512,0,Saturday,April,0
35,2014-04-12 00:35:00,40.7493,-73.98,B02512,0,Saturday,April,0
36,2014-04-12 00:43:00,40.7384,-74.0097,B02512,0,Saturday,April,0
37,2014-04-12 00:46:00,40.7407,-74.005,B02512,0,Saturday,April,0
38,2014-04-12 00:49:00,40.7285,-73.9997,B02512,0,Saturday,April,0
