,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-04-06 00:00:00,40.6547,-74.3033,B02512,0,Sunday,April,0
1,2014-04-06 00:00:00,40.7421,-74.0041,B02512,0,Sunday,April,1
2,2014-04-06 00:01:00,40.7368,-73.9877,B02512,0,Sunday,April,1
3,2014-04-06 00:01:00,40.7197,-74.0106,B02512,0,Sunday,April,1
4,2014-04-06 00:03:00,40.7377,-73.9864,B02512,0,Sunday,April,1
5,2014-04-06 00:09:00,40.8042,-73.9555,B02512,0,Sunday,April,3
6,2014-04-06 00:09:00,40.7443,-73.9918,B02512,0,Sunday,April,1
7,2014-04-06 00:11:00,40.7646,-73.9798,B02512,0,Sunday,April,3
8,2014-04-06 00:12:00,40.7575,-73.978,B02512,0,Sunday,April,3
9,2014-04-06 00:13:00,40.7454,-73.9932,B02512,0,Sunday,April,1
10,2014-04-06 00:14:00,40.7506,-74.0033,B02512,0,Sunday,April,1
11,2014-04-06 00:16:00,40.7383,-74.0282,B02512,0,Sunday,April,0
12,2014-04-06 00:17:00,40.7585,-74.0443,B02512,0,Sunday,April,0
13,2014-04-06 00:18:00,40.7352,-73.9829,B02512,0,Sunday,April,1
14,2014-04-06 00:21:00,40.7277,-74.0017,B02512,0,Sunday,April,1
15,2014-04-06 00:23:00,40.7653,-73.983,B02512,0,Sunday,April,3
16,2014-04-06 00:24:00,40.5934,-74.467,B02512,0,Sunday,April,0
17,2014-04-06 00:25:00,40.7224,-73.9916,B02512,0,Sunday,April,1
18,2014-04-06 00:28:00,40.7711,-73.9617,B02512,0,Sunday,April,3
19,2014-04-06 00:29:00,40.7266,-73.9958,B02512,0,Sunday,April,1
20,2014-04-06 00:34:00,40.755,-73.9862,B02512,0,Sunday,April,3
21,2014-04-06 00:35:00,40.7174,-74.0015,B02512,0,Sunday,April,1
22,2014-04-06 00:37:00,40.7269,-73.9915,B02512,0,Sunday,April,1
23,2014-04-06 00:39:00,40.7327,-73.9854,B02512,0,Sunday,April,1
24,2014-04-06 00:40:00,40.659,-73.9463,B02512,0,Sunday,April,2
25,2014-04-06 00:42:00,40.729,-74.0009,B02512,0,Sunday,April,1
26,2014-04-06 00:42:00,40.7546,-73.9695,B02512,0,Sunday,April,3
27,2014-04-06 00:45:00,40.6762,-73.9359,B02512,0,Sunday,April,2
28,2014-04-06 00:47:00,40.7306,-74.0016,B02512,0,Sunday,April,1
29,2014-04-06 00:49:00,40.744,-74.0064,B02512,0,Sunday,April,1
30,2014-04-06 00:50:00,40.7374,-74.005,B02512,0,Sunday,April,1
31,2014-04-06 00:54:00,40.7497,-73.9924,B02512,0,Sunday,April,1
32,2014-04-13 00:02:00,40.7305,-73.9892,B02512,0,Sunday,April,1
33,2014-04-13 00:03:00,40.7639,-73.9761,B02512,0,Sunday,April,3
34,2014-04-13 00:03:00,40.7424,-73.985,B02512,0,Sunday,April,1
35,2014-04-13 00:06:00,40.7352,-74.01,B02512,0,Sunday,April,1
36,2014-04-13 00:07:00,40.727,-73.9938,B02512,0,Sunday,April,1
37,2014-04-13 00:12:00,40.6687,-73.9852,B02512,0,Sunday,April,2
38,2014-04-13 00:13:00,40.6898,-73.9712,B02512,0,Sunday,April,2
39,2014-04-13 00:14:00,40.7529,-74.0236,B02512,0,Sunday,April,0
40,2014-04-13 00:15:00,40.8029,-73.9448,B02512,0,Sunday,April,3
41,2014-04-13 00:16:00,40.7591,-73.8042,B02512,0,Sunday,April,4
42,2014-04-13 00:18:00,40.8155,-73.942,B02512,0,Sunday,April,3
43,2014-04-13 00:19:00,40.7727,-73.9557,B02512,0,Sunday,April,3
44,2014-04-13 00:23:00,40.7251,-73.995,B02512,0,Sunday,April,1
45,2014-04-13 00:23:00,40.7347,-74.0006,B02512,0,Sunday,April,1
46,2014-04-13 00:27:00,40.7559,-73.9901,B02512,0,Sunday,April,3
47,2014-04-13 00:29:00,40.7269,-73.9918,B02512,0,Sunday,April,1
48,2014-04-13 00:29:00,40.7812,-73.9462,B02512,0,Sunday,April,3
49,2014-04-13 00:30:00,40.7255,-73.9842,B02512,0,Sunday,April,1
50,2014-04-13 00:31:00,40.7226,-73.9891,B02512,0,Sunday,April,1
51,2014-04-13 00:33:00,40.7226,-73.9877,B02512,0,Sunday,April,1
52,2014-04-13 00:34:00,40.7618,-73.9928,B02512,0,Sunday,April,3
53,2014-04-13 00:41:00,40.7028,-74.011,B02512,0,Sunday,April,1
54,2014-04-13 00:44:00,40.7407,-74.0045,B02512,0,Sunday,April,1
55,2014-04-13 00:46:00,40.7288,-74.0004,B02512,0,Sunday,April,1
56,2014-04-13 00:48:00,40.7179,-73.9921,B02512,0,Sunday,April,1
57,2014-04-13 00:49:00,40.7191,-74.0035,B02512,0,Sunday,April,1
58,2014-04-13 00:54:00,40.713,-73.9664,B02512,0,Sunday,April,1
59,2014-04-13 00:54:00,40.7272,-73.992,B02512,0,Sunday,April,1
60,2014-04-13 00:57:00,40.6892,-73.9552,B02512,0,Sunday,April,2
61,2014-04-13 00:57:00,40.7635,-73.979,B02512,0,Sunday,April,3
62,2014-04-13 00:58:00,40.7484,-73.886,B02512,0,Sunday,April,3
63,2014-04-20 00:02:00,40.725,-73.9515,B02512,0,Sunday,April,1
64,2014-04-20 00:06:00,40.7361,-73.9839,B02512,0,Sunday,April,1
65,2014-04-20 00:08:00,40.7498,-74.0027,B02512,0,Sunday,April,1
66,2014-04-20 00:11:00,40.6567,-74.0083,B02512,0,Sunday,April,2
67,2014-04-20 00:12:00,40.7251,-73.995,B02512,0,Sunday,April,1
68,2014-04-20 00:15:00,40.7317,-73.9992,B02512,0,Sunday,April,1
69,2014-04-20 00:17:00,40.7281,-73.9845,B02512,0,Sunday,April,1
70,2014-04-20 00:20:00,40.6602,-73.8039,B02512,0,Sunday,April,2
71,2014-04-20 00:28:00,40.724,-73.9963,B02512,0,Sunday,April,1
72,2014-04-20 00:29:00,40.725,-73.9782,B02512,0,Sunday,April,1
