,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-04-02 00:00:00,40.7458,-73.9843,B02512,0,Wednesday,April,4
1,2014-04-02 00:07:00,40.7732,-73.9546,B02512,0,Wednesday,April,4
2,2014-04-02 00:21:00,40.7405,-74.004,B02512,0,Wednesday,April,1
3,2014-04-02 00:35:00,40.7606,-73.9757,B02512,0,Wednesday,April,4
4,2014-04-02 00:56:00,40.7312,-74.0097,B02512,0,Wednesday,April,1
5,2014-04-09 00:06:00,40.6432,-73.7896,B02512,0,Wednesday,April,2
6,2014-04-09 00:34:00,40.764,-73.9762,B02512,0,Wednesday,April,4
7,2014-04-09 00:52:00,40.7758,-73.949,B02512,0,Wednesday,April,4
8,2014-04-09 00:56:00,40.7512,-73.98,B02512,0,Wednesday,April,4
9,2014-04-16 00:01:00,40.76,-73.981,B02512,0,Wednesday,April,4
10,2014-04-16 00:13:00,40.7274,-73.9921,B02512,0,Wednesday,April,1
11,2014-04-16 00:20:00,40.7251,-73.9995,B02512,0,Wednesday,April,1
12,2014-04-16 00:48:00,40.6695,-73.986,B02512,0,Wednesday,April,3
13,2014-04-23 00:00:00,40.7499,-73.9901,B02512,0,Wednesday,April,4
14,2014-04-23 00:07:00,40.7411,-73.9865,B02512,0,Wednesday,April,1
15,2014-04-23 00:25:00,40.674,-73.9122,B02512,0,Wednesday,April,1
16,2014-04-23 00:29:00,40.7276,-73.9935,B02512,0,Wednesday,April,1
17,2014-04-23 00:50:00,40.7158,-74.0036,B02512,0,Wednesday,April,1
18,2014-04-30 00:02:00,40.6444,-73.7823,B02512,0,Wednesday,April,2
19,2014-04-30 00:11:00,40.6799,-73.9075,B02512,0,Wednesday,April,1
20,2014-04-30 00:13:00,40.7276,-73.9942,B02512,0,Wednesday,April,1
21,2014-04-30 00:26:00,40.6879,-74.183,B02512,0,Wednesday,April,3
22,2014-04-30 00:40:00,40.7581,-73.9723,B02512,0,Wednesday,April,4
23,2014-04-30 00:50:00,40.7131,-73.9937,B02512,0,Wednesday,April,1
24,2014-04-02 00:01:00,40.7295,-73.987,B02598,0,Wednesday,April,1
25,2014-04-02 00:04:00,40.72,-74.043,B02598,0,Wednesday,April,3
26,2014-04-02 00:05:00,40.6483,-73.7829,B02598,0,Wednesday,April,2
27,2014-04-02 00:07:00,40.7083,-73.9483,B02598,0,Wednesday,April,1
28,2014-04-02 00:09:00,40.8022,-73.9391,B02598,0,Wednesday,April,0
29,2014-04-02 00:14:00,40.711,-74.0089,B02598,0,Wednesday,April,1
30,2014-04-02 00:17:00,40.7338,-74.0061,B02598,0,Wednesday,April,1
31,2014-04-02 00:18:00,40.7605,-73.9868,B02598,0,Wednesday,April,4
32,2014-04-02 00:20:00,40.7376,-74.0317,B02598,0,Wednesday,April,1
33,2014-04-02 00:24:00,40.7196,-74.0102,B02598,0,Wednesday,April,1
34,2014-04-02 00:34:00,40.7559,-73.9869,B02598,0,Wednesday,April,4
35,2014-04-02 00:39:00,40.755,-73.9833,B02598,0,Wednesday,April,4
36,2014-04-02 00:41:00,40.7622,-73.9726,B02598,0,Wednesday,April,4
37,2014-04-02 00:42:00,40.715,-73.9518,B02598,0,Wednesday,April,1
38,2014-04-02 00:47:00,40.7245,-73.9933,B02598,0,Wednesday,April,1
39,2014-04-02 00:53:00,40.6664,-73.9893,B02598,0,Wednesday,April,3
40,2014-04-02 00:58:00,40.7209,-73.988,B02598,0,Wednesday,April,1
41,2014-04-09 00:00:00,40.7214,-73.995,B02598,0,Wednesday,April,1
42,2014-04-09 00:02:00,40.7202,-73.9995,B02598,0,Wednesday,April,1
43,2014-04-09 00:04:00,40.741,-73.9882,B02598,0,Wednesday,April,1
44,2014-04-09 00:05:00,40.7263,-73.9961,B02598,0,Wednesday,April,1
45,2014-04-09 00:06:00,40.6483,-73.7827,B02598,0,Wednesday,April,2
46,2014-04-09 00:11:00,40.7579,-73.9834,B02598,0,Wednesday,April,4
47,2014-04-09 00:11:00,40.7569,-73.9839,B02598,0,Wednesday,April,4
48,2014-04-09 00:12:00,40.7593,-74.0005,B02598,0,Wednesday,April,4
49,2014-04-09 00:12:00,40.7403,-74.0017,B02598,0,Wednesday,April,1
50,2014-04-09 00:13:00,40.6452,-73.7918,B02598,0,Wednesday,April,2
51,2014-04-09 00:16:00,40.7537,-73.9882,B02598,0,Wednesday,April,4
52,2014-04-09 00:23:00,40.7233,-73.9994,B02598,0,Wednesday,April,1
53,2014-04-09 00:30:00,40.7126,-73.9646,B02598,0,Wednesday,April,1
54,2014-04-09 00:33:00,40.7223,-73.9918,B02598,0,Wednesday,April,1
55,2014-04-09 00:36:00,40.7365,-73.9908,B02598,0,Wednesday,April,1
56,2014-04-09 00:37:00,40.7529,-73.9837,B02598,0,Wednesday,April,4
57,2014-04-09 00:38:00,40.7437,-73.9905,B02598,0,Wednesday,April,4
58,2014-04-09 00:41:00,40.726,-73.9834,B02598,0,Wednesday,April,1
59,2014-04-09 00:44:00,40.7066,-73.9524,B02598,0,Wednesday,April,1
60,2014-04-09 00:51:00,40.7535,-73.9692,B02598,0,Wednesday,April,4
61,2014-04-09 00:55:00,40.7867,-73.9747,B02598,0,Wednesday,April,4
62,2014-04-09 00:59:00,40.7796,-73.9877,B02598,0,Wednesday,April,4
63,2014-04-16 00:00:00,40.7616,-73.9922,B02598,0,Wednesday,April,4
64,2014-04-16 00:01:00,40.7298,-73.9811,B02598,0,Wednesday,April,1
65,2014-04-16 00:02:00,40.7313,-73.994,B02598,0,Wednesday,April,1
66,2014-04-16 00:03:00,40.6877,-74.1819,B02598,0,Wednesday,April,3
67,2014-04-16 00:05:00,40.7563,-73.9973,B02598,0,Wednesday,April,4
68,2014-04-16 00:06:00,40.7322,-73.9924,B02598,0,Wednesday,April,1
69,2014-04-16 00:08:00,40.7757,-73.9647,B02598,0,Wednesday,April,4
70,2014-04-16 00:09:00,40.727,-74.0009,B02598,0,Wednesday,April,1
71,2014-04-16 00:11:00,40.6759,-73.9808,B02598,0,Wednesday,April,3
72,2014-04-16 00:12:00,40.7435,-74.0035,B02598,0,Wednesday,April,1
73,2014-04-16 00:13:00,40.7357,-74.0006,B02598,0,Wednesday,April,1
74,2014-04-16 00:13:00,40.7202,-73.9881,B02598,0,Wednesday,April,1
75,2014-04-16 00:14:00,40.7319,-74.0028,B02598,0,Wednesday,April,1
76,2014-04-16 00:14:00,40.7404,-74.0337,B02598,0,Wednesday,April,1
77,2014-04-16 00:15:00,40.7285,-74.0043,B02598,0,Wednesday,April,1
78,2014-04-16 00:19:00,40.6446,-73.7832,B02598,0,Wednesday,April,2
79,2014-04-16 00:21:00,40.6449,-73.7824,B02598,0,Wednesday,April,2
80,2014-04-16 00:21:00,40.7219,-73.9828,B02598,0,Wednesday,April,1
81,2014-04-16 00:24:00,40.7084,-74.0049,B02598,0,Wednesday,April,1
82,2014-04-16 00:26:00,40.7218,-74.0042,B02598,0,Wednesday,April,1
83,2014-04-16 00:29:00,40.7271,-73.9839,B02598,0,Wednesday,April,1
84,2014-04-16 00:29:00,40.7532,-73.979,B02598,0,Wednesday,April,4
85,2014-04-16 00:30:00,40.7193,-74.0087,B02598,0,Wednesday,April,1
86,2014-04-16 00:32:00,40.7529,-73.9711,B02598,0,Wednesday,April,4
87,2014-04-16 00:32:00,40.7234,-74.0089,B02598,0,Wednesday,April,1
88,2014-04-16 00:34:00,40.7194,-74.0084,B02598,0,Wednesday,April,1
89,2014-04-16 00:37:00,40.723,-74.008,B02598,0,Wednesday,April,1
90,2014-04-16 00:39:00,40.7569,-73.9897,B02598,0,Wednesday,April,4
91,2014-04-16 00:41:00,40.6022,-73.7573,B02598,0,Wednesday,April,2
92,2014-04-16 00:42:00,40.7284,-73.9942,B02598,0,Wednesday,April,1
93,2014-04-16 00:43:00,40.716,-73.9563,B02598,0,Wednesday,April,1
94,2014-04-16 00:44:00,40.7314,-74.002,B02598,0,Wednesday,April,1
