,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-08-05 00:09:00,40.764,-73.9731,B02512,0,Tuesday,August,0
1,2014-08-05 00:14:00,40.7271,-73.9802,B02512,0,Tuesday,August,0
2,2014-08-05 00:32:00,40.7244,-73.9906,B02512,0,Tuesday,August,0
3,2014-08-05 00:40:00,40.7336,-74.0019,B02512,0,Tuesday,August,0
4,2014-08-05 00:50:00,40.7032,-73.9328,B02512,0,Tuesday,August,2
5,2014-08-12 00:07:00,40.7228,-73.9991,B02512,0,Tuesday,August,0
6,2014-08-12 00:13:00,40.7613,-73.9996,B02512,0,Tuesday,August,0
7,2014-08-12 00:17:00,40.6879,-74.1814,B02512,0,Tuesday,August,4
8,2014-08-12 00:31:00,40.7585,-73.9865,B02512,0,Tuesday,August,0
9,2014-08-12 00:37:00,40.6447,-73.7822,B02512,0,Tuesday,August,1
10,2014-08-12 00:39:00,40.7299,-73.9807,B02512,0,Tuesday,August,0
11,2014-08-12 00:59:00,40.6878,-74.1816,B02512,0,Tuesday,August,4
12,2014-08-19 00:13:00,40.7032,-74.0112,B02512,0,Tuesday,August,0
13,2014-08-19 00:20:00,40.739,-73.9947,B02512,0,Tuesday,August,0
14,2014-08-19 00:35:00,40.703,-73.9907,B02512,0,Tuesday,August,2
15,2014-08-26 00:05:00,40.6847,-73.9443,B02512,0,Tuesday,August,2
16,2014-08-26 00:12:00,40.7342,-73.9899,B02512,0,Tuesday,August,0
17,2014-08-26 00:22:00,40.7291,-74.0024,B02512,0,Tuesday,August,0
18,2014-08-26 00:51:00,40.7221,-73.9577,B02512,0,Tuesday,August,0
19,2014-08-26 00:57:00,40.7254,-73.984,B02512,0,Tuesday,August,0
20,2014-08-05 00:00:00,40.7641,-73.9812,B02598,0,Tuesday,August,0
21,2014-08-05 00:00:00,40.7289,-74.0347,B02598,0,Tuesday,August,0
22,2014-08-05 00:00:00,40.729,-73.9874,B02598,0,Tuesday,August,0
23,2014-08-05 00:01:00,40.7478,-73.9849,B02598,0,Tuesday,August,0
24,2014-08-05 00:02:00,40.6755,-73.9404,B02598,0,Tuesday,August,2
25,2014-08-05 00:05:00,40.7801,-73.951,B02598,0,Tuesday,August,3
26,2014-08-05 00:06:00,40.7644,-73.9688,B02598,0,Tuesday,August,0
27,2014-08-05 00:07:00,40.6787,-74.002,B02598,0,Tuesday,August,2
28,2014-08-05 00:07:00,40.7489,-73.9835,B02598,0,Tuesday,August,0
29,2014-08-05 00:10:00,40.7174,-74.0159,B02598,0,Tuesday,August,0
30,2014-08-05 00:11:00,40.7276,-74.0016,B02598,0,Tuesday,August,0
31,2014-08-05 00:12:00,40.7639,-73.994,B02598,0,Tuesday,August,0
32,2014-08-05 00:13:00,40.8173,-73.9407,B02598,0,Tuesday,August,3
33,2014-08-05 00:14:00,40.6678,-73.9479,B02598,0,Tuesday,August,2
34,2014-08-05 00:14:00,40.7163,-73.9414,B02598,0,Tuesday,August,2
35,2014-08-05 00:15:00,40.7443,-74.0066,B02598,0,Tuesday,August,0
36,2014-08-05 00:17:00,40.7714,-73.9892,B02598,0,Tuesday,August,0
37,2014-08-05 00:19:00,40.7143,-73.9872,B02598,0,Tuesday,August,0
38,2014-08-05 00:20:00,40.7231,-74.0049,B02598,0,Tuesday,August,0
39,2014-08-05 00:24:00,40.7431,-73.982,B02598,0,Tuesday,August,0
40,2014-08-05 00:25:00,40.7576,-73.9859,B02598,0,Tuesday,August,0
41,2014-08-05 00:27:00,40.7525,-73.98,B02598,0,Tuesday,August,0
42,2014-08-05 00:29:00,40.7549,-73.9916,B02598,0,Tuesday,August,0
43,2014-08-05 00:32:00,40.7419,-74.0037,B02598,0,Tuesday,August,0
44,2014-08-05 00:35:00,40.7755,-73.946,B02598,0,Tuesday,August,3
45,2014-08-05 00:36:00,40.7438,-73.9877,B02598,0,Tuesday,August,0
46,2014-08-05 00:37:00,40.7578,-73.9714,B02598,0,Tuesday,August,0
47,2014-08-05 00:38:00,40.8151,-73.9415,B02598,0,Tuesday,August,3
48,2014-08-05 00:39:00,40.7574,-73.9696,B02598,0,Tuesday,August,0
49,2014-08-05 00:42:00,40.7724,-73.9257,B02598,0,Tuesday,August,3
50,2014-08-05 00:44:00,40.7145,-73.9982,B02598,0,Tuesday,August,0
51,2014-08-05 00:45:00,40.7005,-73.9206,B02598,0,Tuesday,August,2
52,2014-08-05 00:47:00,40.7141,-74.0097,B02598,0,Tuesday,August,0
53,2014-08-05 00:48:00,40.7534,-73.9737,B02598,0,Tuesday,August,0
54,2014-08-05 00:48:00,40.72,-74.0428,B02598,0,Tuesday,August,0
55,2014-08-05 00:51:00,40.7255,-74.0032,B02598,0,Tuesday,August,0
56,2014-08-05 00:53:00,40.7458,-73.9914,B02598,0,Tuesday,August,0
57,2014-08-05 00:54:00,40.7406,-74.0078,B02598,0,Tuesday,August,0
58,2014-08-05 00:56:00,40.7016,-73.8959,B02598,0,Tuesday,August,2
59,2014-08-05 00:56:00,40.7642,-73.973,B02598,0,Tuesday,August,0
60,2014-08-05 00:56:00,40.7271,-73.9797,B02598,0,Tuesday,August,0
61,2014-08-05 00:57:00,40.7197,-73.9949,B02598,0,Tuesday,August,0
62,2014-08-12 00:00:00,40.7846,-73.9773,B02598,0,Tuesday,August,3
63,2014-08-12 00:02:00,40.7617,-73.9745,B02598,0,Tuesday,August,0
64,2014-08-12 00:02:00,40.7143,-73.998,B02598,0,Tuesday,August,0
65,2014-08-12 00:03:00,40.7064,-74.0095,B02598,0,Tuesday,August,0
66,2014-08-12 00:04:00,40.7707,-73.9575,B02598,0,Tuesday,August,0
67,2014-08-12 00:05:00,40.7249,-74.0079,B02598,0,Tuesday,August,0
68,2014-08-12 00:06:00,40.7603,-73.9875,B02598,0,Tuesday,August,0
69,2014-08-12 00:07:00,40.7606,-73.9828,B02598,0,Tuesday,August,0
70,2014-08-12 00:08:00,40.8482,-73.9093,B02598,0,Tuesday,August,3
71,2014-08-12 00:12:00,40.6739,-73.9167,B02598,0,Tuesday,August,2
72,2014-08-12 00:12:00,40.7713,-73.9566,B02598,0,Tuesday,August,0
73,2014-08-12 00:13:00,40.7923,-73.9643,B02598,0,Tuesday,August,3
74,2014-08-12 00:14:00,40.7623,-73.975,B02598,0,Tuesday,August,0
75,2014-08-12 00:15:00,40.7547,-73.9844,B02598,0,Tuesday,August,0
76,2014-08-12 00:17:00,40.7585,-73.9899,B02598,0,Tuesday,August,0
77,2014-08-12 00:17:00,40.7414,-74.0014,B02598,0,Tuesday,August,0
78,2014-08-12 00:18:00,40.7537,-73.9847,B02598,0,Tuesday,August,0
79,2014-08-12 00:18:00,40.7264,-73.9992,B02598,0,Tuesday,August,0
80,2014-08-12 00:18:00,40.7266,-73.9865,B02598,0,Tuesday,August,0
81,2014-08-12 00:21:00,40.7629,-73.8141,B02598,0,Tuesday,August,1
82,2014-08-12 00:27:00,40.6653,-73.9896,B02598,0,Tuesday,August,2
83,2014-08-12 00:29:00,40.7438,-73.9881,B02598,0,Tuesday,August,0
84,2014-08-12 00:32:00,40.744,-73.9894,B02598,0,Tuesday,August,0
85,2014-08-12 00:33:00,40.6788,-73.9978,B02598,0,Tuesday,August,2
86,2014-08-12 00:34:00,40.7598,-73.9732,B02598,0,Tuesday,August,0
87,2014-08-12 00:36:00,40.7573,-73.9715,B02598,0,Tuesday,August,0
88,2014-08-12 00:37:00,40.8012,-73.968,B02598,0,Tuesday,August,3
89,2014-08-12 00:40:00,40.7222,-73.9983,B02598,0,Tuesday,August,0
90,2014-08-12 00:41:00,40.722,-74.0041,B02598,0,Tuesday,August,0
91,2014-08-12 00:42:00,40.6852,-73.9784,B02598,0,Tuesday,August,2
92,2014-08-12 00:43:00,40.7039,-73.9312,B02598,0,Tuesday,August,2
93,2014-08-12 00:44:00,40.692,-73.9467,B02598,0,Tuesday,August,2
94,2014-08-12 00:46:00,40.7416,-74.0034,B02598,0,Tuesday,August,0
95,2014-08-12 00:52:00,40.8024,-73.9645,B02598,0,Tuesday,August,3
96,2014-08-12 00:52:00,40.764,-73.9728,B02598,0,Tuesday,August,0
97,2014-08-12 00:54:00,40.6591,-73.8035,B02598,0,Tuesday,August,1
98,2014-08-12 00:55:00,40.7426,-73.9827,B02598,0,Tuesday,August,0
99,2014-08-12 00:59:00,40.7144,-73.9981,B02598,0,Tuesday,August,0
100,2014-08-19 00:00:00,40.76,-73.986,B02598,0,Tuesday,August,0
101,2014-08-19 00:01:00,40.7033,-74.0109,B02598,0,Tuesday,August,0
102,2014-08-19 00:02:00,40.794,-73.9721,B02598,0,Tuesday,August,3
103,2014-08-19 00:03:00,40.9766,-73.7693,B02598,0,Tuesday,August,3
104,2014-08-19 00:05:00,40.7548,-73.9842,B02598,0,Tuesday,August,0
105,2014-08-19 00:06:00,40.7498,-73.9774,B02598,0,Tuesday,August,0
106,2014-08-19 00:08:00,40.7645,-73.962,B02598,0,Tuesday,August,0
107,2014-08-19 00:09:00,40.7538,-74.0073,B02598,0,Tuesday,August,0
108,2014-08-19 00:10:00,40.7049,-73.9332,B02598,0,Tuesday,August,2
109,2014-08-19 00:11:00,40.7182,-73.9996,B02598,0,Tuesday,August,0
110,2014-08-19 00:13:00,40.7604,-73.9787,B02598,0,Tuesday,August,0
111,2014-08-19 00:16:00,40.7396,-74.0024,B02598,0,Tuesday,August,0
112,2014-08-19 00:20:00,40.7055,-73.9447,B02598,0,Tuesday,August,2
113,2014-08-19 00:21:00,40.7461,-73.9905,B02598,0,Tuesday,August,0
114,2014-08-19 00:24:00,40.6808,-73.9452,B02598,0,Tuesday,August,2
115,2014-08-19 00:25:00,40.7648,-73.9704,B02598,0,Tuesday,August,0
116,2014-08-19 00:26:00,40.7775,-73.9488,B02598,0,Tuesday,August,3
117,2014-08-19 00:26:00,40.7129,-73.9402,B02598,0,Tuesday,August,2
118,2014-08-19 00:27:00,40.7335,-73.9988,B02598,0,Tuesday,August,0
119,2014-08-19 00:28:00,40.5019,-74.4518,B02598,0,Tuesday,August,4
120,2014-08-19 00:29:00,40.7228,-74.0024,B02598,0,Tuesday,August,0
121,2014-08-19 00:29:00,40.6484,-73.7831,B02598,0,Tuesday,August,1
122,2014-08-19 00:32:00,40.7586,-73.9709,B02598,0,Tuesday,August,0
123,2014-08-19 00:35:00,40.7545,-73.9836,B02598,0,Tuesday,August,0
124,2014-08-19 00:39:00,40.7758,-73.959,B02598,0,Tuesday,August,3
125,2014-08-19 00:40:00,40.9821,-73.9362,B02598,0,Tuesday,August,3
126,2014-08-19 00:42:00,40.7405,-74.0065,B02598,0,Tuesday,August,0
127,2014-08-19 00:48:00,40.7258,-73.9998,B02598,0,Tuesday,August,0
128,2014-08-19 00:49:00,40.7186,-73.9571,B02598,0,Tuesday,August,0
129,2014-08-19 00:49:00,40.761,-73.9795,B02598,0,Tuesday,August,0
130,2014-08-19 00:53:00,40.7311,-73.9858,B02598,0,Tuesday,August,0
131,2014-08-19 00:55:00,40.7559,-73.9874,B02598,0,Tuesday,August,0
132,2014-08-19 00:57:00,40.6803,-73.9492,B02598,0,Tuesday,August,2
133,2014-08-26 00:00:00,40.7305,-73.9779,B02598,0,Tuesday,August,0
134,2014-08-26 00:02:00,40.7229,-73.9891,B02598,0,Tuesday,August,0
135,2014-08-26 00:04:00,40.7048,-74.0118,B02598,0,Tuesday,August,0
136,2014-08-26 00:06:00,40.7282,-73.9814,B02598,0,Tuesday,August,0
137,2014-08-26 00:11:00,40.7373,-73.9968,B02598,0,Tuesday,August,0
138,2014-08-26 00:12:00,40.7527,-73.9743,B02598,0,Tuesday,August,0
139,2014-08-26 00:17:00,40.7604,-73.9804,B02598,0,Tuesday,August,0
140,2014-08-26 00:17:00,40.6887,-73.9854,B02598,0,Tuesday,August,2
141,2014-08-26 00:21:00,40.7215,-73.9803,B02598,0,Tuesday,August,0
142,2014-08-26 00:24:00,40.6788,-73.9587,B02598,0,Tuesday,August,2
143,2014-08-26 00:25:00,40.6511,-73.9409,B02598,0,Tuesday,August,2
144,2014-08-26 00:26:00,40.7547,-73.9943,B02598,0,Tuesday,August,0
145,2014-08-26 00:27:00,40.6874,-73.974,B02598,0,Tuesday,August,2
146,2014-08-26 00:28:00,40.7402,-74.0058,B02598,0,Tuesday,August,0
147,2014-08-26 00:34:00,40.7401,-73.9897,B02598,0,Tuesday,August,0
148,2014-08-26 00:35:00,40.6808,-73.9581,B02598,0,Tuesday,August,2
149,2014-08-26 00:36:00,40.7183,-73.9865,B02598,0,Tuesday,August,0
150,2014-08-26 00:39:00,40.7263,-73.992,B02598,0,Tuesday,August,0
151,2014-08-26 00:40:00,40.742,-74.0043,B02598,0,Tuesday,August,0
152,2014-08-26 00:42:00,40.6932,-73.9729,B02598,0,Tuesday,August,2
153,2014-08-26 00:43:00,40.7246,-73.9988,B02598,0,Tuesday,August,0
154,2014-08-26 00:51:00,40.7638,-73.9787,B02598,0,Tuesday,August,0
155,2014-08-26 00:53:00,40.6918,-73.9915,B02598,0,Tuesday,August,2
156,2014-08-26 00:56:00,40.6678,-73.9837,B02598,0,Tuesday,August,2
157,2014-08-26 00:58:00,40.7559,-73.9853,B02598,0,Tuesday,August,0
158,2014-08-05 00:00:00,40.7612,-73.961,B02617,0,Tuesday,August,0
159,2014-08-05 00:00:00,40.7458,-73.9883,B02617,0,Tuesday,August,0
160,2014-08-05 00:01:00,40.7182,-73.9518,B02617,0,Tuesday,August,2
161,2014-08-05 00:01:00,40.7471,-73.9858,B02617,0,Tuesday,August,0
162,2014-08-05 00:03:00,40.6448,-73.7819,B02617,0,Tuesday,August,1
163,2014-08-05 00:03:00,40.7645,-73.8849,B02617,0,Tuesday,August,3
164,2014-08-05 00:04:00,40.7159,-73.9931,B02617,0,Tuesday,August,0
165,2014-08-05 00:05:00,40.7332,-74.0032,B02617,0,Tuesday,August,0
166,2014-08-05 00:05:00,40.7203,-73.9882,B02617,0,Tuesday,August,0
167,2014-08-05 00:06:00,40.7578,-73.97,B02617,0,Tuesday,August,0
168,2014-08-05 00:06:00,40.5773,-73.967,B02617,0,Tuesday,August,2
169,2014-08-05 00:06:00,40.722,-74.004,B02617,0,Tuesday,August,0
170,2014-08-05 00:07:00,40.7262,-74.0017,B02617,0,Tuesday,August,0
171,2014-08-05 00:08:00,40.7393,-73.9954,B02617,0,Tuesday,August,0
172,2014-08-05 00:09:00,40.7259,-74.0094,B02617,0,Tuesday,August,0
173,2014-08-05 00:11:00,40.7544,-73.9725,B02617,0,Tuesday,August,0
174,2014-08-05 00:11:00,40.7778,-73.9616,B02617,0,Tuesday,August,3
175,2014-08-05 00:11:00,40.7519,-73.9708,B02617,0,Tuesday,August,0
176,2014-08-05 00:12:00,40.6485,-73.7828,B02617,0,Tuesday,August,1
177,2014-08-05 00:13:00,40.6897,-73.9922,B02617,0,Tuesday,August,2
178,2014-08-05 00:13:00,40.6838,-73.9789,B02617,0,Tuesday,August,2
179,2014-08-05 00:14:00,40.7277,-73.9825,B02617,0,Tuesday,August,0
180,2014-08-05 00:15:00,40.755,-73.984,B02617,0,Tuesday,August,0
181,2014-08-05 00:16:00,40.6837,-73.9789,B02617,0,Tuesday,August,2
182,2014-08-05 00:17:00,40.737,-73.9792,B02617,0,Tuesday,August,0
183,2014-08-05 00:17:00,40.7486,-73.9848,B02617,0,Tuesday,August,0
184,2014-08-05 00:18:00,40.731,-74.0013,B02617,0,Tuesday,August,0
185,2014-08-05 00:19:00,40.7159,-74.0036,B02617,0,Tuesday,August,0
186,2014-08-05 00:20:00,40.7414,-73.9813,B02617,0,Tuesday,August,0
187,2014-08-05 00:20:00,40.7744,-73.9511,B02617,0,Tuesday,August,3
188,2014-08-05 00:20:00,40.6484,-73.7829,B02617,0,Tuesday,August,1
189,2014-08-05 00:22:00,40.7862,-73.9439,B02617,0,Tuesday,August,3
190,2014-08-05 00:23:00,40.7227,-74.0045,B02617,0,Tuesday,August,0
191,2014-08-05 00:23:00,40.7198,-73.9874,B02617,0,Tuesday,August,0
192,2014-08-05 00:24:00,40.6948,-74.1773,B02617,0,Tuesday,August,4
193,2014-08-05 00:24:00,40.6944,-73.9642,B02617,0,Tuesday,August,2
194,2014-08-05 00:24:00,40.6746,-73.9566,B02617,0,Tuesday,August,2
195,2014-08-05 00:26:00,40.7255,-74.0031,B02617,0,Tuesday,August,0
196,2014-08-05 00:27:00,40.707,-74.0044,B02617,0,Tuesday,August,0
197,2014-08-05 00:28:00,40.7439,-74.0065,B02617,0,Tuesday,August,0
198,2014-08-05 00:29:00,40.7214,-73.9885,B02617,0,Tuesday,August,0
199,2014-08-05 00:30:00,40.7484,-73.9904,B02617,0,Tuesday,August,0
200,2014-08-05 00:31:00,40.758,-73.9893,B02617,0,Tuesday,August,0
201,2014-08-05 00:31:00,40.7618,-73.9847,B02617,0,Tuesday,August,0
202,2014-08-05 00:33:00,40.7295,-74.0019,B02617,0,Tuesday,August,0
203,2014-08-05 00:34:00,40.6549,-73.9783,B02617,0,Tuesday,August,2
204,2014-08-05 00:34:00,40.7475,-74.1367,B02617,0,Tuesday,August,4
205,2014-08-05 00:36:00,40.7123,-73.9678,B02617,0,Tuesday,August,2
206,2014-08-05 00:37:00,40.7332,-74.0064,B02617,0,Tuesday,August,0
207,2014-08-05 00:37:00,40.7392,-74.0014,B02617,0,Tuesday,August,0
208,2014-08-05 00:37:00,40.6815,-73.9769,B02617,0,Tuesday,August,2
209,2014-08-05 00:39:00,40.7553,-73.9755,B02617,0,Tuesday,August,0
210,2014-08-05 00:40:00,40.7171,-74.2921,B02617,0,Tuesday,August,4
211,2014-08-05 00:41:00,40.789,-73.9702,B02617,0,Tuesday,August,3
212,2014-08-05 00:43:00,40.7114,-73.9452,B02617,0,Tuesday,August,2
213,2014-08-05 00:44:00,40.7286,-74.0465,B02617,0,Tuesday,August,0
214,2014-08-05 00:44:00,40.7525,-73.9794,B02617,0,Tuesday,August,0
215,2014-08-05 00:45:00,40.7237,-73.9837,B02617,0,Tuesday,August,0
216,2014-08-05 00:45:00,40.6354,-74.0097,B02617,0,Tuesday,August,2
217,2014-08-05 00:46:00,40.7514,-74.0051,B02617,0,Tuesday,August,0
218,2014-08-05 00:46:00,40.6867,-73.9546,B02617,0,Tuesday,August,2
219,2014-08-05 00:47:00,40.7416,-74.0038,B02617,0,Tuesday,August,0
220,2014-08-05 00:47:00,40.7639,-73.9604,B02617,0,Tuesday,August,0
221,2014-08-05 00:48:00,40.7654,-73.9799,B02617,0,Tuesday,August,0
222,2014-08-05 00:48:00,40.7398,-74.0068,B02617,0,Tuesday,August,0
223,2014-08-05 00:50:00,40.732,-73.9837,B02617,0,Tuesday,August,0
224,2014-08-05 00:52:00,40.7601,-73.9819,B02617,0,Tuesday,August,0
225,2014-08-05 00:53:00,40.7573,-73.9699,B02617,0,Tuesday,August,0
226,2014-08-05 00:53:00,40.7133,-73.9442,B02617,0,Tuesday,August,2
227,2014-08-05 00:54:00,40.7139,-73.9618,B02617,0,Tuesday,August,2
228,2014-08-05 00:55:00,40.7216,-73.9579,B02617,0,Tuesday,August,0
229,2014-08-05 00:56:00,40.6739,-73.9168,B02617,0,Tuesday,August,2
230,2014-08-05 00:58:00,40.7419,-74.001,B02617,0,Tuesday,August,0
231,2014-08-05 00:59:00,40.7549,-73.9865,B02617,0,Tuesday,August,0
232,2014-08-12 00:00:00,40.7242,-73.9877,B02617,0,Tuesday,August,0
233,2014-08-12 00:01:00,40.7407,-73.9861,B02617,0,Tuesday,August,0
234,2014-08-12 00:01:00,40.6295,-73.9185,B02617,0,Tuesday,August,2
235,2014-08-12 00:01:00,40.7606,-73.9712,B02617,0,Tuesday,August,0
236,2014-08-12 00:02:00,40.7122,-73.9636,B02617,0,Tuesday,August,2
237,2014-08-12 00:03:00,40.7547,-73.974,B02617,0,Tuesday,August,0
238,2014-08-12 00:04:00,40.7381,-73.9922,B02617,0,Tuesday,August,0
239,2014-08-12 00:04:00,40.6449,-73.7823,B02617,0,Tuesday,August,1
240,2014-08-12 00:05:00,40.7589,-73.9815,B02617,0,Tuesday,August,0
241,2014-08-12 00:06:00,40.766,-73.9675,B02617,0,Tuesday,August,0
242,2014-08-12 00:06:00,40.7217,-73.9582,B02617,0,Tuesday,August,0
243,2014-08-12 00:08:00,40.7279,-73.9958,B02617,0,Tuesday,August,0
244,2014-08-12 00:09:00,40.7369,-73.9929,B02617,0,Tuesday,August,0
245,2014-08-12 00:09:00,40.695,-74.1781,B02617,0,Tuesday,August,4
246,2014-08-12 00:11:00,40.6914,-73.9843,B02617,0,Tuesday,August,2
247,2014-08-12 00:11:00,40.7194,-73.9974,B02617,0,Tuesday,August,0
248,2014-08-12 00:11:00,40.7092,-73.9392,B02617,0,Tuesday,August,2
249,2014-08-12 00:12:00,40.8021,-73.9645,B02617,0,Tuesday,August,3
250,2014-08-12 00:13:00,40.7747,-73.95,B02617,0,Tuesday,August,3
251,2014-08-12 00:14:00,40.7141,-73.9616,B02617,0,Tuesday,August,2
252,2014-08-12 00:17:00,40.7708,-73.9596,B02617,0,Tuesday,August,0
253,2014-08-12 00:17:00,40.6483,-73.7824,B02617,0,Tuesday,August,1
254,2014-08-12 00:18:00,40.65,-73.9418,B02617,0,Tuesday,August,2
255,2014-08-12 00:19:00,40.7606,-73.9751,B02617,0,Tuesday,August,0
256,2014-08-12 00:19:00,40.7546,-73.9739,B02617,0,Tuesday,August,0
257,2014-08-12 00:19:00,40.7609,-73.9871,B02617,0,Tuesday,August,0
258,2014-08-12 00:19:00,40.7248,-73.9934,B02617,0,Tuesday,August,0
259,2014-08-12 00:21:00,40.6486,-73.7833,B02617,0,Tuesday,August,1
260,2014-08-12 00:22:00,40.7312,-74.0013,B02617,0,Tuesday,August,0
261,2014-08-12 00:22:00,40.7234,-73.9763,B02617,0,Tuesday,August,0
262,2014-08-12 00:23:00,40.7771,-73.9781,B02617,0,Tuesday,August,0
263,2014-08-12 00:24:00,40.7384,-73.982,B02617,0,Tuesday,August,0
264,2014-08-12 00:24:00,40.7022,-73.9212,B02617,0,Tuesday,August,2
265,2014-08-12 00:26:00,40.7481,-73.9849,B02617,0,Tuesday,August,0
266,2014-08-12 00:26:00,40.781,-73.9809,B02617,0,Tuesday,August,3
267,2014-08-12 00:27:00,40.8062,-73.9158,B02617,0,Tuesday,August,3
268,2014-08-12 00:29:00,40.7439,-74.0068,B02617,0,Tuesday,August,0
269,2014-08-12 00:30:00,40.7442,-73.9997,B02617,0,Tuesday,August,0
270,2014-08-12 00:31:00,40.7681,-73.9894,B02617,0,Tuesday,August,0
271,2014-08-12 00:31:00,40.8443,-73.9115,B02617,0,Tuesday,August,3
272,2014-08-12 00:32:00,40.7316,-74.0011,B02617,0,Tuesday,August,0
273,2014-08-12 00:33:00,40.7202,-73.9884,B02617,0,Tuesday,August,0
274,2014-08-12 00:35:00,40.7182,-74.0028,B02617,0,Tuesday,August,0
275,2014-08-12 00:36:00,40.6466,-73.7904,B02617,0,Tuesday,August,1
276,2014-08-12 00:38:00,40.7549,-73.9835,B02617,0,Tuesday,August,0
277,2014-08-12 00:39:00,40.7556,-73.9683,B02617,0,Tuesday,August,0
278,2014-08-12 00:41:00,40.7588,-73.9726,B02617,0,Tuesday,August,0
279,2014-08-12 00:44:00,40.7586,-73.9817,B02617,0,Tuesday,August,0
280,2014-08-12 00:45:00,40.6883,-73.9478,B02617,0,Tuesday,August,2
281,2014-08-12 00:46:00,40.814,-73.9496,B02617,0,Tuesday,August,3
282,2014-08-12 00:47:00,40.7565,-73.982,B02617,0,Tuesday,August,0
283,2014-08-12 00:48:00,40.7301,-73.9891,B02617,0,Tuesday,August,0
284,2014-08-12 00:50:00,40.7665,-73.9607,B02617,0,Tuesday,August,0
285,2014-08-12 00:50:00,40.7437,-74.0033,B02617,0,Tuesday,August,0
286,2014-08-12 00:51:00,40.7622,-73.9679,B02617,0,Tuesday,August,0
287,2014-08-12 00:52:00,40.7739,-73.9599,B02617,0,Tuesday,August,3
288,2014-08-12 00:54:00,40.7205,-73.9985,B02617,0,Tuesday,August,0
289,2014-08-12 00:55:00,40.7397,-73.9867,B02617,0,Tuesday,August,0
290,2014-08-12 00:56:00,40.7603,-73.9667,B02617,0,Tuesday,August,0
291,2014-08-12 00:57:00,40.7313,-73.995,B02617,0,Tuesday,August,0
292,2014-08-12 00:58:00,40.711,-73.9866,B02617,0,Tuesday,August,0
293,2014-08-12 00:58:00,40.711,-73.7978,B02617,0,Tuesday,August,1
294,2014-08-19 00:00:00,40.71,-74.0117,B02617,0,Tuesday,August,0
295,2014-08-19 00:00:00,40.7553,-73.9866,B02617,0,Tuesday,August,0
296,2014-08-19 00:01:00,40.7801,-73.9528,B02617,0,Tuesday,August,3
297,2014-08-19 00:01:00,40.7215,-73.9836,B02617,0,Tuesday,August,0
298,2014-08-19 00:01:00,40.73,-73.9897,B02617,0,Tuesday,August,0
299,2014-08-19 00:02:00,40.74,-73.9854,B02617,0,Tuesday,August,0
300,2014-08-19 00:03:00,40.6446,-73.7826,B02617,0,Tuesday,August,1
301,2014-08-19 00:03:00,40.7189,-74.0049,B02617,0,Tuesday,August,0
302,2014-08-19 00:03:00,40.6324,-74.0284,B02617,0,Tuesday,August,2
303,2014-08-19 00:04:00,40.7608,-73.9716,B02617,0,Tuesday,August,0
304,2014-08-19 00:04:00,40.742,-73.9933,B02617,0,Tuesday,August,0
305,2014-08-19 00:04:00,40.7221,-73.9965,B02617,0,Tuesday,August,0
306,2014-08-19 00:06:00,40.7623,-73.8147,B02617,0,Tuesday,August,1
307,2014-08-19 00:07:00,40.7761,-73.9614,B02617,0,Tuesday,August,3
308,2014-08-19 00:08:00,40.73,-73.957,B02617,0,Tuesday,August,0
309,2014-08-19 00:08:00,40.7644,-73.9851,B02617,0,Tuesday,August,0
