,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-08-06 00:19:00,40.6948,-74.1778,B02512,0,Wednesday,August,2
1,2014-08-06 00:22:00,40.7618,-73.9746,B02512,0,Wednesday,August,0
2,2014-08-06 00:51:00,40.7254,-73.9876,B02512,0,Wednesday,August,2
3,2014-08-13 00:03:00,40.7052,-73.9208,B02512,0,Wednesday,August,4
4,2014-08-13 00:10:00,40.771,-73.9577,B02512,0,Wednesday,August,0
5,2014-08-13 00:14:00,40.7461,-73.9997,B02512,0,Wednesday,August,2
6,2014-08-13 00:24:00,40.7369,-73.9887,B02512,0,Wednesday,August,2
7,2014-08-13 00:28:00,40.7225,-73.9975,B02512,0,Wednesday,August,2
8,2014-08-13 00:41:00,40.686,-73.9727,B02512,0,Wednesday,August,4
9,2014-08-13 00:41:00,40.7781,-73.9823,B02512,0,Wednesday,August,0
10,2014-08-13 00:46:00,40.6467,-73.7894,B02512,0,Wednesday,August,1
11,2014-08-13 00:55:00,40.6466,-73.7899,B02512,0,Wednesday,August,1
12,2014-08-20 00:05:00,40.8045,-73.9557,B02512,0,Wednesday,August,0
13,2014-08-20 00:14:00,40.7168,-73.9893,B02512,0,Wednesday,August,2
14,2014-08-20 00:27:00,40.7074,-74.0123,B02512,0,Wednesday,August,2
15,2014-08-20 00:48:00,40.7574,-73.9754,B02512,0,Wednesday,August,0
16,2014-08-27 00:01:00,40.7377,-74.0037,B02512,0,Wednesday,August,2
17,2014-08-27 00:07:00,40.7425,-74.0045,B02512,0,Wednesday,August,2
18,2014-08-27 00:34:00,40.7397,-74.0021,B02512,0,Wednesday,August,2
19,2014-08-27 00:53:00,40.7603,-73.9908,B02512,0,Wednesday,August,0
20,2014-08-06 00:00:00,40.6486,-73.7827,B02598,0,Wednesday,August,1
21,2014-08-06 00:00:00,40.7413,-73.9865,B02598,0,Wednesday,August,2
22,2014-08-06 00:02:00,40.7129,-73.9573,B02598,0,Wednesday,August,4
23,2014-08-06 00:03:00,40.7426,-73.9532,B02598,0,Wednesday,August,0
24,2014-08-06 00:04:00,40.6869,-73.9596,B02598,0,Wednesday,August,4
25,2014-08-06 00:06:00,40.6457,-73.7767,B02598,0,Wednesday,August,1
26,2014-08-06 00:07:00,40.728,-74.0019,B02598,0,Wednesday,August,2
27,2014-08-06 00:08:00,40.7548,-73.9755,B02598,0,Wednesday,August,0
28,2014-08-06 00:10:00,40.6447,-73.782,B02598,0,Wednesday,August,1
29,2014-08-06 00:11:00,40.7747,-73.9901,B02598,0,Wednesday,August,0
30,2014-08-06 00:11:00,40.7414,-73.9864,B02598,0,Wednesday,August,2
31,2014-08-06 00:12:00,40.7409,-74.0075,B02598,0,Wednesday,August,2
32,2014-08-06 00:13:00,40.7732,-73.9519,B02598,0,Wednesday,August,0
33,2014-08-06 00:14:00,40.7703,-73.9876,B02598,0,Wednesday,August,0
34,2014-08-06 00:17:00,40.7474,-73.9744,B02598,0,Wednesday,August,0
35,2014-08-06 00:18:00,40.7261,-73.9918,B02598,0,Wednesday,August,2
36,2014-08-06 00:18:00,40.7055,-74.0096,B02598,0,Wednesday,August,2
37,2014-08-06 00:20:00,40.8286,-73.9475,B02598,0,Wednesday,August,0
38,2014-08-06 00:21:00,40.7517,-73.9718,B02598,0,Wednesday,August,0
39,2014-08-06 00:21:00,40.7243,-73.9944,B02598,0,Wednesday,August,2
40,2014-08-06 00:22:00,40.7686,-73.9538,B02598,0,Wednesday,August,0
41,2014-08-06 00:23:00,40.7666,-73.9284,B02598,0,Wednesday,August,0
42,2014-08-06 00:23:00,40.7304,-73.9947,B02598,0,Wednesday,August,2
43,2014-08-06 00:25:00,40.695,-74.1781,B02598,0,Wednesday,August,2
44,2014-08-06 00:26:00,40.7486,-73.9844,B02598,0,Wednesday,August,2
45,2014-08-06 00:27:00,40.7436,-73.988,B02598,0,Wednesday,August,2
46,2014-08-06 00:28:00,40.7256,-73.9575,B02598,0,Wednesday,August,4
47,2014-08-06 00:28:00,40.7115,-73.9461,B02598,0,Wednesday,August,4
48,2014-08-06 00:29:00,40.7962,-74.1465,B02598,0,Wednesday,August,2
49,2014-08-06 00:31:00,40.7449,-73.9881,B02598,0,Wednesday,August,2
50,2014-08-06 00:32:00,40.7434,-73.9844,B02598,0,Wednesday,August,2
51,2014-08-06 00:33:00,40.7423,-74.0042,B02598,0,Wednesday,August,2
52,2014-08-06 00:34:00,40.7524,-73.9933,B02598,0,Wednesday,August,2
53,2014-08-06 00:35:00,40.7209,-73.9936,B02598,0,Wednesday,August,2
54,2014-08-06 00:36:00,40.7118,-73.9625,B02598,0,Wednesday,August,4
55,2014-08-06 00:37:00,40.7231,-74.0032,B02598,0,Wednesday,August,2
56,2014-08-06 00:37:00,40.7686,-73.9574,B02598,0,Wednesday,August,0
57,2014-08-06 00:39:00,40.7524,-73.9932,B02598,0,Wednesday,August,2
58,2014-08-06 00:40:00,40.7418,-73.9782,B02598,0,Wednesday,August,2
59,2014-08-06 00:40:00,40.6447,-74.0157,B02598,0,Wednesday,August,4
60,2014-08-06 00:43:00,40.7009,-73.9179,B02598,0,Wednesday,August,4
61,2014-08-06 00:43:00,40.7265,-73.9901,B02598,0,Wednesday,August,2
62,2014-08-06 00:43:00,40.7396,-74.0055,B02598,0,Wednesday,August,2
63,2014-08-06 00:43:00,40.7783,-73.975,B02598,0,Wednesday,August,0
64,2014-08-06 00:45:00,40.7268,-73.9913,B02598,0,Wednesday,August,2
65,2014-08-06 00:47:00,40.7603,-73.9836,B02598,0,Wednesday,August,0
66,2014-08-06 00:50:00,40.7365,-73.9817,B02598,0,Wednesday,August,2
67,2014-08-06 00:51:00,40.6458,-73.7767,B02598,0,Wednesday,August,1
68,2014-08-06 00:55:00,40.7409,-74.0011,B02598,0,Wednesday,August,2
69,2014-08-06 00:57:00,40.7011,-73.9223,B02598,0,Wednesday,August,4
70,2014-08-06 00:57:00,40.7293,-73.9872,B02598,0,Wednesday,August,2
71,2014-08-06 00:59:00,40.7792,-73.9558,B02598,0,Wednesday,August,0
72,2014-08-13 00:00:00,40.7251,-73.9831,B02598,0,Wednesday,August,2
73,2014-08-13 00:00:00,40.6847,-73.9127,B02598,0,Wednesday,August,4
74,2014-08-13 00:01:00,40.6712,-73.9594,B02598,0,Wednesday,August,4
75,2014-08-13 00:01:00,40.739,-73.9832,B02598,0,Wednesday,August,2
76,2014-08-13 00:02:00,40.7548,-73.9835,B02598,0,Wednesday,August,0
77,2014-08-13 00:02:00,40.7213,-73.9877,B02598,0,Wednesday,August,2
78,2014-08-13 00:03:00,40.6807,-73.9945,B02598,0,Wednesday,August,4
79,2014-08-13 00:04:00,40.7652,-73.9751,B02598,0,Wednesday,August,0
80,2014-08-13 00:04:00,40.7198,-74.0054,B02598,0,Wednesday,August,2
81,2014-08-13 00:04:00,40.745,-73.9882,B02598,0,Wednesday,August,2
82,2014-08-13 00:05:00,40.7399,-74.006,B02598,0,Wednesday,August,2
83,2014-08-13 00:06:00,40.7405,-73.9981,B02598,0,Wednesday,August,2
84,2014-08-13 00:07:00,40.7276,-73.994,B02598,0,Wednesday,August,2
85,2014-08-13 00:07:00,40.7567,-73.9141,B02598,0,Wednesday,August,0
86,2014-08-13 00:09:00,40.7372,-73.9913,B02598,0,Wednesday,August,2
87,2014-08-13 00:09:00,40.7617,-73.994,B02598,0,Wednesday,August,0
88,2014-08-13 00:10:00,40.7586,-73.9725,B02598,0,Wednesday,August,0
89,2014-08-13 00:10:00,40.689,-73.9421,B02598,0,Wednesday,August,4
90,2014-08-13 00:11:00,40.7303,-73.9859,B02598,0,Wednesday,August,2
91,2014-08-13 00:12:00,40.7649,-73.9783,B02598,0,Wednesday,August,0
92,2014-08-13 00:13:00,40.7193,-74.0045,B02598,0,Wednesday,August,2
