,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-06-06 00:02:00,40.7444,-73.981,B02512,0,Friday,June,1
1,2014-06-06 00:05:00,40.7526,-74.0044,B02512,0,Friday,June,1
2,2014-06-06 00:16:00,40.7588,-73.9727,B02512,0,Friday,June,3
3,2014-06-06 00:23:00,40.7184,-73.9572,B02512,0,Friday,June,1
4,2014-06-06 00:28:00,40.7448,-73.9785,B02512,0,Friday,June,1
5,2014-06-06 00:31:00,40.7602,-73.9951,B02512,0,Friday,June,3
6,2014-06-06 00:39:00,40.7599,-73.974,B02512,0,Friday,June,3
7,2014-06-06 00:45:00,40.6696,-74.2023,B02512,0,Friday,June,2
8,2014-06-06 00:49:00,40.7593,-73.9794,B02512,0,Friday,June,3
9,2014-06-13 00:03:00,40.8481,-73.7132,B02512,0,Friday,June,4
10,2014-06-13 00:10:00,40.7156,-73.9917,B02512,0,Friday,June,1
11,2014-06-13 00:11:00,40.7418,-74.0034,B02512,0,Friday,June,1
12,2014-06-13 00:15:00,40.6348,-73.5822,B02512,0,Friday,June,4
13,2014-06-13 00:19:00,40.842,-74.1455,B02512,0,Friday,June,3
14,2014-06-13 00:24:00,40.7502,-73.94,B02512,0,Friday,June,3
15,2014-06-13 00:30:00,40.7553,-73.9812,B02512,0,Friday,June,3
16,2014-06-13 00:33:00,40.7626,-73.972,B02512,0,Friday,June,3
17,2014-06-13 00:34:00,40.7107,-73.9663,B02512,0,Friday,June,0
18,2014-06-13 00:36:00,40.7847,-73.9772,B02512,0,Friday,June,3
19,2014-06-13 00:47:00,40.7212,-74.001,B02512,0,Friday,June,1
20,2014-06-13 00:50:00,40.8522,-73.9655,B02512,0,Friday,June,3
21,2014-06-13 00:59:00,40.7348,-74.0082,B02512,0,Friday,June,1
22,2014-06-20 00:08:00,40.6948,-74.1779,B02512,0,Friday,June,2
23,2014-06-20 00:08:00,40.7293,-73.9892,B02512,0,Friday,June,1
24,2014-06-20 00:14:00,40.7614,-73.9607,B02512,0,Friday,June,3
25,2014-06-20 00:29:00,40.752,-73.982,B02512,0,Friday,June,3
26,2014-06-20 00:42:00,40.7588,-73.9731,B02512,0,Friday,June,3
27,2014-06-27 00:05:00,40.7519,-74.0323,B02512,0,Friday,June,1
28,2014-06-27 00:06:00,40.7683,-73.8621,B02512,0,Friday,June,3
29,2014-06-27 00:09:00,40.7206,-73.9969,B02512,0,Friday,June,1
30,2014-06-27 00:18:00,40.7457,-73.9754,B02512,0,Friday,June,3
31,2014-06-27 00:26:00,40.7293,-74.0013,B02512,0,Friday,June,1
32,2014-06-27 00:31:00,40.7221,-73.9864,B02512,0,Friday,June,1
33,2014-06-27 00:36:00,40.752,-73.9794,B02512,0,Friday,June,3
34,2014-06-27 00:40:00,40.7422,-74.0042,B02512,0,Friday,June,1
35,2014-06-27 00:54:00,40.7565,-73.97,B02512,0,Friday,June,3
36,2014-06-06 00:00:00,40.7403,-74.0059,B02598,0,Friday,June,1
37,2014-06-06 00:01:00,40.7438,-73.9837,B02598,0,Friday,June,1
38,2014-06-06 00:02:00,40.7632,-73.9784,B02598,0,Friday,June,3
39,2014-06-06 00:03:00,40.7363,-73.9506,B02598,0,Friday,June,1
40,2014-06-06 00:04:00,40.734,-73.9907,B02598,0,Friday,June,1
41,2014-06-06 00:04:00,40.7305,-74.0045,B02598,0,Friday,June,1
42,2014-06-06 00:05:00,40.7721,-73.9563,B02598,0,Friday,June,3
43,2014-06-06 00:05:00,40.7211,-73.9936,B02598,0,Friday,June,1
44,2014-06-06 00:06:00,40.7235,-74.0017,B02598,0,Friday,June,1
45,2014-06-06 00:06:00,40.7401,-74.006,B02598,0,Friday,June,1
46,2014-06-06 00:06:00,40.7216,-73.9582,B02598,0,Friday,June,1
47,2014-06-06 00:06:00,40.6794,-74.0117,B02598,0,Friday,June,0
48,2014-06-06 00:07:00,40.7616,-73.9845,B02598,0,Friday,June,3
49,2014-06-06 00:07:00,40.7401,-73.8508,B02598,0,Friday,June,3
50,2014-06-06 00:08:00,40.734,-73.991,B02598,0,Friday,June,1
51,2014-06-06 00:09:00,40.7429,-73.9886,B02598,0,Friday,June,1
52,2014-06-06 00:10:00,40.7093,-74.0106,B02598,0,Friday,June,1
53,2014-06-06 00:10:00,40.71,-74.0092,B02598,0,Friday,June,1
54,2014-06-06 00:11:00,40.7249,-73.9844,B02598,0,Friday,June,1
55,2014-06-06 00:11:00,40.7198,-74.007,B02598,0,Friday,June,1
56,2014-06-06 00:12:00,40.7408,-74.005,B02598,0,Friday,June,1
57,2014-06-06 00:13:00,40.7444,-74.0066,B02598,0,Friday,June,1
58,2014-06-06 00:13:00,40.727,-73.9895,B02598,0,Friday,June,1
59,2014-06-06 00:13:00,40.7879,-73.9557,B02598,0,Friday,June,3
60,2014-06-06 00:14:00,40.7373,-73.9968,B02598,0,Friday,June,1
61,2014-06-06 00:15:00,40.7143,-74.01,B02598,0,Friday,June,1
62,2014-06-06 00:15:00,40.7704,-73.9915,B02598,0,Friday,June,3
63,2014-06-06 00:16:00,40.7235,-74.0017,B02598,0,Friday,June,1
64,2014-06-06 00:17:00,40.7405,-73.9759,B02598,0,Friday,June,1
65,2014-06-06 00:18:00,40.6751,-73.9472,B02598,0,Friday,June,0
