,Date/Time,Lat,Lon,Base,hour,dayofweek,month,db_clusters
0,2014-06-02 00:01:00,40.7392,-73.9946,B02512,0,Monday,June,2
1,2014-06-02 00:02:00,40.7563,-73.9887,B02512,0,Monday,June,2
2,2014-06-02 00:10:00,40.6449,-73.7823,B02512,0,Monday,June,1
3,2014-06-02 00:16:00,40.7649,-73.9961,B02512,0,Monday,June,2
4,2014-06-02 00:25:00,40.7275,-73.9934,B02512,0,Monday,June,0
5,2014-06-02 00:47:00,40.7332,-74.0057,B02512,0,Monday,June,0
6,2014-06-09 00:06:00,40.7592,-73.8193,B02512,0,Monday,June,2
7,2014-06-09 00:12:00,40.6951,-74.1784,B02512,0,Monday,June,4
8,2014-06-09 00:16:00,40.6485,-73.7838,B02512,0,Monday,June,1
9,2014-06-09 00:21:00,40.7341,-73.9993,B02512,0,Monday,June,0
10,2014-06-09 00:23:00,40.7512,-73.9743,B02512,0,Monday,June,2
11,2014-06-09 00:32:00,40.6483,-73.7831,B02512,0,Monday,June,1
12,2014-06-16 00:13:00,40.7761,-73.9443,B02512,0,Monday,June,2
13,2014-06-16 00:36:00,40.7655,-73.966,B02512,0,Monday,June,2
14,2014-06-16 00:42:00,40.7462,-73.9888,B02512,0,Monday,June,2
15,2014-06-23 00:08:00,40.7315,-74.0004,B02512,0,Monday,June,0
16,2014-06-23 00:16:00,40.7514,-73.968,B02512,0,Monday,June,2
17,2014-06-23 00:47:00,40.7159,-73.9599,B02512,0,Monday,June,0
18,2014-06-30 00:19:00,40.7469,-73.9906,B02512,0,Monday,June,2
19,2014-06-30 00:43:00,40.7634,-73.9714,B02512,0,Monday,June,2
20,2014-06-30 00:58:00,40.7644,-73.9815,B02512,0,Monday,June,2
21,2014-06-02 00:00:00,40.7256,-74.0051,B02598,0,Monday,June,0
22,2014-06-02 00:00:00,40.726,-73.9398,B02598,0,Monday,June,0
23,2014-06-02 00:02:00,40.7619,-73.9744,B02598,0,Monday,June,2
24,2014-06-02 00:03:00,40.7161,-73.962,B02598,0,Monday,June,0
25,2014-06-02 00:03:00,40.7235,-73.987,B02598,0,Monday,June,0
26,2014-06-02 00:06:00,40.7558,-73.9358,B02598,0,Monday,June,2
27,2014-06-02 00:08:00,40.72,-73.8449,B02598,0,Monday,June,1
28,2014-06-02 00:09:00,40.7604,-73.9827,B02598,0,Monday,June,2
29,2014-06-02 00:10:00,40.7707,-73.9509,B02598,0,Monday,June,2
30,2014-06-02 00:11:00,40.7564,-73.9976,B02598,0,Monday,June,2
31,2014-06-02 00:11:00,40.7237,-73.9853,B02598,0,Monday,June,0
32,2014-06-02 00:11:00,40.7677,-73.9874,B02598,0,Monday,June,2
33,2014-06-02 00:13:00,40.818,-73.9379,B02598,0,Monday,June,3
34,2014-06-02 00:13:00,40.7582,-73.96,B02598,0,Monday,June,2
35,2014-06-02 00:16:00,40.7431,-73.9891,B02598,0,Monday,June,2
36,2014-06-02 00:17:00,40.6463,-73.7898,B02598,0,Monday,June,1
37,2014-06-02 00:18:00,40.6962,-73.911,B02598,0,Monday,June,0
38,2014-06-02 00:18:00,40.6951,-74.1784,B02598,0,Monday,June,4
39,2014-06-02 00:21:00,40.7559,-73.9965,B02598,0,Monday,June,2
40,2014-06-02 00:25:00,40.6982,-73.9374,B02598,0,Monday,June,0
41,2014-06-02 00:26:00,40.7599,-73.9665,B02598,0,Monday,June,2
42,2014-06-02 00:26:00,40.7186,-73.9823,B02598,0,Monday,June,0
43,2014-06-02 00:29:00,40.6475,-73.7994,B02598,0,Monday,June,1
44,2014-06-02 00:31:00,40.7078,-73.9535,B02598,0,Monday,June,0
45,2014-06-02 00:32:00,40.6465,-73.79,B02598,0,Monday,June,1
46,2014-06-02 00:32:00,40.7684,-73.9673,B02598,0,Monday,June,2
47,2014-06-02 00:33:00,40.7325,-74.0095,B02598,0,Monday,June,0
48,2014-06-02 00:36:00,40.7205,-73.9945,B02598,0,Monday,June,0
49,2014-06-02 00:38:00,40.6763,-73.9801,B02598,0,Monday,June,0
50,2014-06-02 00:42:00,40.7233,-74.0084,B02598,0,Monday,June,0
51,2014-06-02 00:47:00,40.8837,-73.9141,B02598,0,Monday,June,3
52,2014-06-02 00:49:00,40.7751,-73.9593,B02598,0,Monday,June,2
53,2014-06-02 00:52:00,40.7651,-73.9792,B02598,0,Monday,June,2
54,2014-06-02 00:52:00,40.7141,-73.9491,B02598,0,Monday,June,0
55,2014-06-02 00:54:00,40.7179,-74.0423,B02598,0,Monday,June,0
56,2014-06-02 00:55:00,40.7416,-74.0013,B02598,0,Monday,June,2
57,2014-06-02 00:56:00,40.75,-73.9914,B02598,0,Monday,June,2
58,2014-06-02 00:59:00,40.7319,-74.0094,B02598,0,Monday,June,0
59,2014-06-09 00:01:00,40.708,-74.0069,B02598,0,Monday,June,0
60,2014-06-09 00:02:00,40.7418,-73.9873,B02598,0,Monday,June,2
61,2014-06-09 00:05:00,40.6442,-73.7821,B02598,0,Monday,June,1
62,2014-06-09 00:06:00,40.7688,-73.8672,B02598,0,Monday,June,2
63,2014-06-09 00:07:00,40.7407,-73.9968,B02598,0,Monday,June,2
64,2014-06-09 00:08:00,40.7586,-73.9794,B02598,0,Monday,June,2
65,2014-06-09 00:09:00,40.645,-73.782,B02598,0,Monday,June,1
66,2014-06-09 00:10:00,40.7136,-73.9493,B02598,0,Monday,June,0
67,2014-06-09 00:10:00,40.7394,-74.008,B02598,0,Monday,June,2
68,2014-06-09 00:12:00,40.7577,-73.9889,B02598,0,Monday,June,2
69,2014-06-09 00:12:00,40.6485,-73.784,B02598,0,Monday,June,1
70,2014-06-09 00:12:00,40.6485,-73.7831,B02598,0,Monday,June,1
