Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
6.0,18-02-2011,1572117.54,,59.61,3.045,214.7775231,6.858
13.0,25-03-2011,1807545.43,0.0,42.38,3.435,128.6160645,7.47
17.0,27-07-2012,,0.0,,,130.7195806,5.936
11.0,,1244390.03,0.0,84.57,,214.55649680000005,7.346
6.0,28-05-2010,1644470.66,0.0,78.89,2.759,212.412888,7.0920000000000005
4.0,28-05-2010,1857533.7,0.0,,2.756,126.1602258,7.896
15.0,03-06-2011,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999
20.0,03-02-2012,2203523.2,0.0,39.93,3.617,213.0236225,6.961
14.0,10-12-2010,2600519.26,0.0,30.54,3.109,,
3.0,,418925.47,0.0,60.12,3.555,224.1320199,6.832999999999998
8.0,19-08-2011,895066.5,0.0,82.92,3.554,219.07019680000005,6.425
18.0,15-10-2010,1029618.1,0.0,52.02,2.878,132.7633548,9.331
7.0,13-05-2011,414094.05,0.0,36.61,3.767,192.826069,8.595
1.0,16-03-2012,1677472.78,0.0,64.74,3.734,221.2118132,7.348
17.0,01-10-2010,829207.27,0.0,60.07,2.853,126.2346,6.885
6.0,30-04-2010,1498080.16,,68.91,2.78,211.8942725,7.0920000000000005
13.0,20-08-2010,1997397.63,0.0,76.34,2.85,,7.951
18.0,,1205307.5,0.0,21.33,2.7880000000000003,131.52790320000003,9.202
2.0,16-12-2011,2432736.52,0.0,50.13,,,7.441
3.0,18-05-2012,,0.0,72.38,3.63,225.2512024,6.664
7.0,02-04-2010,561145.14,0.0,38.26,2.725,189.7048215,8.963
5.0,13-05-2011,290930.01,0.0,77.38,3.899,216.5343611,6.489
18.0,12-10-2012,1074079.0,0.0,50.97,4.029,138.9117,8.243
19.0,26-03-2010,1427023.45,0.0,39.07,2.963,131.863129,8.35
19.0,04-05-2012,1405007.44,0.0,50.76,4.124,138.0332,8.15
17.0,12-10-2012,919878.34,0.0,44.82,3.797,131.1083333,5.527
3.0,13-01-2012,367438.62,0.0,51.86,3.261,,6.832999999999998
16.0,20-05-2011,435397.19,0.0,43.95,3.828,192.831317,6.339
17.0,16-04-2010,757738.76,0.0,45.22,2.915,126.5621,6.635
6.0,26-08-2011,1420405.41,0.0,,3.523,217.2706543,6.925
12.0,06-05-2011,1021154.48,0.0,68.4,4.1930000000000005,129.04443329999998,13.736
5.0,30-12-2011,,1.0,,3.129,220.1178226,6.3
7.0,10-02-2012,563460.77,1.0,18.79,3.103,196.9195056,8.256
14.0,10-02-2012,2077256.24,1.0,37.0,,,8.424
2.0,,1853161.99,0.0,87.7,3.48,214.9296249,
19.0,25-03-2011,1266564.94,0.0,33.26,3.789,133.9587419,7.771
3.0,23-09-2011,365248.94,0.0,80.19,3.467,219.7414914,7.567
18.0,15-04-2011,988157.72,0.0,,3.823,134.2784667,8.975
4.0,24-06-2011,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015
5.0,11-11-2011,311906.7,0.0,60.71,3.297,218.5699621,6.3
18.0,27-04-2012,961186.23,0.0,50.43,4.023,137.9781333,8.304
16.0,14-09-2012,526525.16,0.0,,3.659,198.1267184,6.061
1.0,,1661767.33,1.0,,3.73,222.4390153,6.908
7.0,26-08-2011,629994.47,,57.6,3.485,194.3796374,8.622
