,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
0,2,5,0,0,1 Mainstream,5000000.0,success,1,Information Technology,1111.0,0.0,10,North America
1,1,1,0,1,1000 Markets,500000.0,success,1,Media & Publishing,134.0,0.0,13,North America
2,2,0,2,1,1000memories,2535000.0,success,2,Information Technology,0.0,411.0,12,North America
3,1,1,2,0,100Plus,1250000.0,success,2,Data Science,47.0,28.0,11,North America
4,5,7,0,5,1010data,35000000.0,success,1,Information Technology,3719.0,0.0,22,North America
5,1,0,0,1,10BestThings,50000.0,failure,1,Information Technology,0.0,0.0,13,North America
6,6,1,0,0,12Society,38730470.0,success,1,Commerce & Marketing,95.0,0.0,10,North America
7,1,1,0,1,169 ST.,50000.0,failure,1,Media & Publishing,17.0,0.0,13,North America
8,5,8,0,5,170 Systems,14000000.0,success,1,Information Technology,4488.0,0.0,32,North America
9,2,2,0,1,One Block Off the Grid (1BOG),5000000.0,failure,1,Information Technology,467.0,0.0,14,North America
10,6,5,0,3,1Cast,38730470.0,failure,1,Media & Publishing,803.0,0.0,16,North America
11,1,0,0,1,1DayMakeover,50000.0,failure,1,Consumer Goods,0.0,0.0,14,North America
12,2,2,4,0,1DocWay,1700000.0,success,2,Health Care & Biotechnology,190.0,1441.0,11,North America
13,1,2,0,0,2100b Sausalito LLC.,50000.0,failure,2,Media & Publishing,566.0,0.0,11,North America
14,5,8,4,5,22nd Century Group,15034750.0,success,6,Health Care & Biotechnology,4744.0,1360.0,24,North America
15,1,2,0,1,24PageBooks,50000.0,failure,1,Information Technology,508.0,0.0,12,North America
16,1,0,0,0,27 Perry,118000.0,failure,1,Commerce & Marketing,0.0,0.0,10,North America
17,2,5,0,0,2lemetry,4000000.0,success,1,Information Technology,1226.0,0.0,11,North America
18,7,7,0,5,"2nd Story Software, Inc.",85000000.0,success,1,Information Technology,2600.0,0.0,24,North America
19,8,2,4,1,2U Inc.,95875000.0,success,6,Information Technology,449.0,1671.0,14,North America
20,6,8,0,6,3 day Blinds,38730470.0,success,1,Design & Platforms,5185.0,0.0,38,North America
21,1,0,2,1,3ClickEMR Corporation,500000.0,failure,2,Electronics,0.0,343.0,12,North America
22,2,0,4,1,XDN/3Crowd Technologies,7289000.0,success,3,Information Technology,0.0,922.0,12,North America
23,1,2,3,0,3D FUTURE VISION II,503000.0,failure,2,Game & Applications,172.0,638.0,11,North America
24,8,8,2,6,3D Systems,169500000.0,success,3,Information Technology,10241.0,271.0,36,North America
25,2,1,3,0,Nimble VR,2249999.0,success,2,Information Technology,89.0,733.0,10,North America
26,7,2,4,4,3Leaf,65000000.0,success,3,Information Technology,214.0,1360.0,18,North America
27,8,2,4,5,3PAR,148000000.0,success,3,Information Technology,486.0,1380.0,23,North America
28,5,7,4,5,3TIER,15000000.0,success,3,Information Technology,3169.0,904.0,23,North America
29,5,5,5,4,41st Parameter,38064570.0,success,4,Privacy and Security,858.0,2165.0,18,North America
30,6,2,0,3,4Blox,38730470.0,failure,1,Information Technology,405.0,0.0,16,North America
31,2,7,0,4,4DK Technologies,3378975.0,success,1,Electronics,2536.0,0.0,17,North America
32,3,2,4,3,4Home,9416354.0,success,6,Transportation,212.0,1282.0,16,North America
33,5,0,4,1,500Friends,12900000.0,success,6,Commerce & Marketing,0.0,1183.0,12,North America
34,2,7,2,1,5BARz International,6100000.0,success,2,Electronics,2142.0,370.0,14,North America
35,6,2,0,0,5by,38730470.0,success,1,Information Technology,424.0,0.0,10,North America
36,5,1,3,2,5min Media,12800000.0,success,3,Education,90.0,844.0,15,North America
37,2,2,0,1,5th Finger,7000000.0,success,1,Electronics,164.0,0.0,14,North America
38,5,2,2,1,5to1,17129760.0,success,4,Media & Publishing,167.0,511.0,13,North America
39,2,2,2,0,640 Labs,3050000.0,success,3,Information Technology,535.0,122.0,9,North America
40,2,5,2,4,6th Sense Analytics,6700000.0,success,2,Information Technology,680.0,446.0,18,North America
41,2,5,4,3,7 Billion People,6528902.0,failure,3,Data Science,1135.0,1250.0,16,North America
42,8,8,0,6,8x8 Inc,126000000.0,success,1,Other,9820.0,0.0,35,North America
43,1,5,2,1,9SLIDES,925000.0,success,2,Other,1094.0,126.0,12,North America
44,4,2,2,1,A Bit Lucky,10312103.0,failure,2,Game & Applications,165.0,375.0,13,North America
45,6,7,0,5,A+ Network,38730470.0,success,1,Services,1929.0,0.0,33,North America
46,8,1,5,4,A10 Networks,118000000.0,success,4,Information Technology,92.0,3197.0,18,North America
47,8,6,5,5,A123 Systems,502860000.0,success,8,Consumer Goods,1765.0,2410.0,21,North America
48,1,5,0,1,Aarden Pharmaceuticals,500000.0,failure,1,Health Care & Biotechnology,1098.0,0.0,14,North America
49,2,0,3,2,Aardvark,6000000.0,success,2,Information Technology,0.0,639.0,15,North America
50,6,8,0,5,Aastrom Biosciences,40000000.0,success,1,Health Care & Biotechnology,8468.0,0.0,33,North America
51,1,7,0,5,Abacast,500000.0,success,1,Data Science,3875.0,0.0,22,North America
52,2,7,4,5,Abazab,4400000.0,failure,2,Information Technology,3411.0,1095.0,25,North America
53,1,0,2,0,AbbeyPost,875000.0,success,5,Commerce & Marketing,0.0,346.0,8,North America
54,2,8,3,5,Abbott Labs,6790000.0,success,2,Health Care & Biotechnology,6649.0,729.0,31,North America
55,8,5,2,2,Abound Solar,510000000.0,failure,2,Information Technology,1282.0,162.0,15,North America
56,1,8,0,5,Abtech Holdings,1400000.0,success,1,Manufacturing,7442.0,0.0,27,North America
57,1,5,0,1,FashionAde.com (Abundant Closet),60000.0,failure,1,Commerce & Marketing,784.0,0.0,14,North America
58,3,8,0,6,A.C. Moore,10000000.0,success,1,Commerce & Marketing,9287.0,0.0,38,North America
59,8,7,5,5,Acacia Research,255100000.0,success,3,Services,2516.0,4474.0,29,North America
60,6,2,0,1,Academic Earth,38730470.0,success,1,Information Technology,274.0,0.0,14,North America
61,2,2,0,4,Academy123,2000000.0,success,1,Education,213.0,0.0,18,North America
62,7,7,4,4,Accelerate Diagnostics,63016244.0,success,4,Health Care & Biotechnology,2273.0,1504.0,18,North America
63,2,7,4,4,Accelerize New Media,4045500.0,success,3,Information Technology,1955.0,1437.0,17,North America
64,8,5,4,4,Acceleron Pharma,113701130.0,success,6,Health Care & Biotechnology,944.0,1969.0,18,North America
65,1,0,3,1,AccelGolf,457282.0,failure,7,Information Technology,0.0,703.0,14,North America
66,7,5,0,5,Accelight Networks,60000000.0,failure,1,Electronics,1053.0,0.0,23,North America
67,1,2,0,0,AccelOne,225000.0,failure,1,Information Technology,483.0,0.0,9,North America
68,1,7,2,4,Accentia Biopharmaceuticals Inc,775000.0,success,2,Health Care & Biotechnology,3690.0,503.0,20,North America
69,2,7,2,5,Accenx Technologies,4500000.0,success,2,Information Technology,3907.0,533.0,25,North America
70,5,5,4,4,Accept Software,25305000.0,success,4,Services,1354.0,1915.0,20,North America
71,2,2,3,2,Accertify,7131124.0,success,3,Services,460.0,700.0,15,North America
72,5,7,4,4,Access Closure,13793098.0,success,3,Health Care & Biotechnology,2983.0,943.0,20,North America
