,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
0,1 Mainstream,5000000.0,success,1,Information Technology,1111.0,0.0,10,North America
1,1000 Markets,500000.0,success,1,Media & Publishing,134.0,0.0,13,North America
2,1000memories,2535000.0,success,2,Information Technology,0.0,411.0,12,North America
3,100Plus,1250000.0,success,2,Data Science,47.0,28.0,11,North America
4,1010data,35000000.0,success,1,Information Technology,3719.0,0.0,22,North America
5,10BestThings,50000.0,failure,1,Information Technology,0.0,0.0,13,North America
6,12Society,38730470.0,success,1,Commerce & Marketing,95.0,0.0,10,North America
7,169 ST.,50000.0,failure,1,Media & Publishing,17.0,0.0,13,North America
8,170 Systems,14000000.0,success,1,Information Technology,4488.0,0.0,32,North America
9,One Block Off the Grid (1BOG),5000000.0,failure,1,Information Technology,467.0,0.0,14,North America
10,1Cast,38730470.0,failure,1,Media & Publishing,803.0,0.0,16,North America
11,1DayMakeover,50000.0,failure,1,Consumer Goods,0.0,0.0,14,North America
12,1DocWay,1700000.0,success,2,Health Care & Biotechnology,190.0,1441.0,11,North America
13,2100b Sausalito LLC.,50000.0,failure,2,Media & Publishing,566.0,0.0,11,North America
14,22nd Century Group,15034750.0,success,6,Health Care & Biotechnology,4744.0,1360.0,24,North America
15,24PageBooks,50000.0,failure,1,Information Technology,508.0,0.0,12,North America
16,27 Perry,118000.0,failure,1,Commerce & Marketing,0.0,0.0,10,North America
17,2lemetry,4000000.0,success,1,Information Technology,1226.0,0.0,11,North America
18,"2nd Story Software, Inc.",85000000.0,success,1,Information Technology,2600.0,0.0,24,North America
19,2U Inc.,95875000.0,success,6,Information Technology,449.0,1671.0,14,North America
20,3 day Blinds,38730470.0,success,1,Design & Platforms,5185.0,0.0,38,North America
21,3ClickEMR Corporation,500000.0,failure,2,Electronics,0.0,343.0,12,North America
22,XDN/3Crowd Technologies,7289000.0,success,3,Information Technology,0.0,922.0,12,North America
23,3D FUTURE VISION II,503000.0,failure,2,Game & Applications,172.0,638.0,11,North America
24,3D Systems,169500000.0,success,3,Information Technology,10241.0,271.0,36,North America
25,Nimble VR,2249999.0,success,2,Information Technology,89.0,733.0,10,North America
26,3Leaf,65000000.0,success,3,Information Technology,214.0,1360.0,18,North America
27,3PAR,148000000.0,success,3,Information Technology,486.0,1380.0,23,North America
28,3TIER,15000000.0,success,3,Information Technology,3169.0,904.0,23,North America
29,41st Parameter,38064570.0,success,4,Privacy and Security,858.0,2165.0,18,North America
30,4Blox,38730470.0,failure,1,Information Technology,405.0,0.0,16,North America
31,4DK Technologies,3378975.0,success,1,Electronics,2536.0,0.0,17,North America
32,4Home,9416354.0,success,6,Transportation,212.0,1282.0,16,North America
33,500Friends,12900000.0,success,6,Commerce & Marketing,0.0,1183.0,12,North America
34,5BARz International,6100000.0,success,2,Electronics,2142.0,370.0,14,North America
35,5by,38730470.0,success,1,Information Technology,424.0,0.0,10,North America
36,5min Media,12800000.0,success,3,Education,90.0,844.0,15,North America
37,5th Finger,7000000.0,success,1,Electronics,164.0,0.0,14,North America
38,5to1,17129760.0,success,4,Media & Publishing,167.0,511.0,13,North America
39,640 Labs,3050000.0,success,3,Information Technology,535.0,122.0,9,North America
40,6th Sense Analytics,6700000.0,success,2,Information Technology,680.0,446.0,18,North America
41,7 Billion People,6528902.0,failure,3,Data Science,1135.0,1250.0,16,North America
42,8x8 Inc,126000000.0,success,1,Other,9820.0,0.0,35,North America
43,9SLIDES,925000.0,success,2,Other,1094.0,126.0,12,North America
44,A Bit Lucky,10312103.0,failure,2,Game & Applications,165.0,375.0,13,North America
45,A+ Network,38730470.0,success,1,Services,1929.0,0.0,33,North America
46,A10 Networks,118000000.0,success,4,Information Technology,92.0,3197.0,18,North America
47,A123 Systems,502860000.0,success,8,Consumer Goods,1765.0,2410.0,21,North America
48,Aarden Pharmaceuticals,500000.0,failure,1,Health Care & Biotechnology,1098.0,0.0,14,North America
49,Aardvark,6000000.0,success,2,Information Technology,0.0,639.0,15,North America
50,Aastrom Biosciences,40000000.0,success,1,Health Care & Biotechnology,8468.0,0.0,33,North America
51,Abacast,500000.0,success,1,Data Science,3875.0,0.0,22,North America
52,Abazab,4400000.0,failure,2,Information Technology,3411.0,1095.0,25,North America
53,AbbeyPost,875000.0,success,5,Commerce & Marketing,0.0,346.0,8,North America
54,Abbott Labs,6790000.0,success,2,Health Care & Biotechnology,6649.0,729.0,31,North America
55,Abound Solar,510000000.0,failure,2,Information Technology,1282.0,162.0,15,North America
56,Abtech Holdings,1400000.0,success,1,Manufacturing,7442.0,0.0,27,North America
57,FashionAde.com (Abundant Closet),60000.0,failure,1,Commerce & Marketing,784.0,0.0,14,North America
58,A.C. Moore,10000000.0,success,1,Commerce & Marketing,9287.0,0.0,38,North America
59,Acacia Research,255100000.0,success,3,Services,2516.0,4474.0,29,North America
60,Academic Earth,38730470.0,success,1,Information Technology,274.0,0.0,14,North America
61,Academy123,2000000.0,success,1,Education,213.0,0.0,18,North America
62,Accelerate Diagnostics,63016244.0,success,4,Health Care & Biotechnology,2273.0,1504.0,18,North America
63,Accelerize New Media,4045500.0,success,3,Information Technology,1955.0,1437.0,17,North America
64,Acceleron Pharma,113701130.0,success,6,Health Care & Biotechnology,944.0,1969.0,18,North America
65,AccelGolf,457282.0,failure,7,Information Technology,0.0,703.0,14,North America
66,Accelight Networks,60000000.0,failure,1,Electronics,1053.0,0.0,23,North America
67,AccelOne,225000.0,failure,1,Information Technology,483.0,0.0,9,North America
68,Accentia Biopharmaceuticals Inc,775000.0,success,2,Health Care & Biotechnology,3690.0,503.0,20,North America
69,Accenx Technologies,4500000.0,success,2,Information Technology,3907.0,533.0,25,North America
70,Accept Software,25305000.0,success,4,Services,1354.0,1915.0,20,North America
71,Accertify,7131124.0,success,3,Services,460.0,700.0,15,North America
72,Access Closure,13793098.0,success,3,Health Care & Biotechnology,2983.0,943.0,20,North America
73,Access Northeast,1999998.0,success,1,Information Technology,3979.0,0.0,23,North America
74,Access Scientific,21376000.0,success,6,Health Care & Biotechnology,2105.0,989.0,18,North America
75,Inherited Health,1155000.0,success,2,Health Care & Biotechnology,61.0,578.0,15,North America
76,Acclaim Games,38730470.0,success,1,Game & Applications,3585.0,0.0,25,North America
77,Acclarent,35000000.0,success,1,Health Care & Biotechnology,1056.0,0.0,18,North America
78,Acclaris Holdings,5000000.0,success,1,Design & Platforms,0.0,0.0,12,North America
79,Accord,38730470.0,failure,1,Real Estate,496.0,0.0,9,North America
80,Accordion Health,150000.0,failure,1,Data Science,49.0,0.0,8,North America
81,Accumetrics,110640460.0,success,9,Health Care & Biotechnology,2692.0,3759.0,26,North America
82,Accuvant,8198838.0,success,4,Privacy and Security,2373.0,2299.0,20,North America
83,Aceva Technologies,5280000.0,success,1,Information Technology,2393.0,0.0,23,North America
84,Achaogen,116605704.0,success,4,Health Care & Biotechnology,213.0,3155.0,18,North America
85,Achievers,52422330.0,success,5,Services,4715.0,1399.0,27,North America
86,Achillion Pharmaceuticals,91100000.0,success,2,Health Care & Biotechnology,1488.0,3124.0,24,North America
87,Blackwave,28000000.0,success,3,Community and Lifestyle,334.0,1034.0,16,North America
88,Acompli,7300000.0,success,1,Information Technology,3.0,0.0,9,North America
89,Acopia Networks,75000000.0,success,3,Information Technology,505.0,1125.0,20,North America
90,Acoustic Technologies,7974296.0,success,1,Information Technology,5580.0,0.0,24,North America
91,Acquaintable,40000.0,success,1,Information Technology,372.0,0.0,10,North America
92,Actinium Pharmaceuticals,7000720.0,success,2,Health Care & Biotechnology,4324.0,810.0,22,North America
93,Action Engine,58200000.0,success,5,Electronics,90.0,2617.0,22,North America
94,Active Junky,1300000.0,success,1,Commerce & Marketing,1771.0,0.0,12,North America
95,Active Storage,16400000.0,failure,4,Information Technology,398.0,1029.0,14,North America
96,Active Voice Corporation,38730470.0,success,1,Community and Lifestyle,2860.0,0.0,39,North America
97,ACTIVE Network,214208700.0,success,10,Information Technology,31.0,3754.0,23,North America
98,ActivIdentity,5422959.0,success,1,Information Technology,9128.0,0.0,37,North America
99,Actona Technologies,28000000.0,success,3,Services,958.0,570.0,22,North America
100,Acusphere,10000000.0,success,2,Health Care & Biotechnology,6761.0,231.0,29,North America
101,Ad Infuse,17600000.0,success,3,Media & Publishing,0.0,1117.0,17,North America
102,Ad Knights,50000.0,failure,1,Media & Publishing,0.0,0.0,12,North America
103,Ad Summos,4549999.0,failure,2,Media & Publishing,83.0,433.0,12,North America
104,Adallom,49500000.0,success,3,Information Technology,335.0,864.0,10,North America
