,name,name_ticker
139,21viaNet,VNET
140,22nd Century Group,XXII
201,2U Inc.,TWOU
270,3D Systems,DDD
436,58.com,finance.yahoo.com
442,5BARz International,5barz-enters-big-data-market-130601337.html
468,6D Global Technologies,SIXD
543,8x8 Inc,EGHT
639,A10 Networks,ATEN
640,A123 Systems,a123-systems-ionic-materials-advance-170000950.html
647,A8 Digital Music,0800.HK
650,AAC Technologies Holdings,AACAY
661,Aastrom Biosciences,astm
683,Abattis Bioceuticals,attbf
687,ABB,ABB
693,Abbott Labs,ABT
743,Ablynx,ABLX
784,Abtech Holdings,ABHDD
792,Abzena,ABZA.L
796,A.C. Moore,AC.TO
802,Acacia Research,actg
816,ACADIA Pharmaceuticals,ACAD
838,Accelera Innovations,ACNV
839,Accelerate Diagnostics,AXDX
851,Accelerize New Media,vista-partners-updates-coverage-accelerize-130000964.html
852,Acceleron Pharma,xlrn
869,Accentia Biopharmaceuticals Inc,NGM
910,Acco Brands,ACCO
973,AcelRx Pharmaceuticals,ACRX
987,Achaogen,AKAOQ
1005,Achillion Pharmaceuticals,ACHN
1015,Aclaris Therapeutics,ACRS
1029,Acorda Therapeutics,acor
1032,Acorn International,ACINX
1061,ACS Global,AMCY
1086,Actinium Pharmaceuticals,atnm
1108,Actions Semiconductor,ON
1206,Acura Pharmaceuticals,acur
1208,Acusphere,ACUS
1238,Adamas Pharmaceuticals,adms
1239,Adamis Pharmaceuticals,ADMP
1251,Adaptimmune,ADAP
1258,"Adaptive Medias, Inc.",ADTM
1292,AdCare Health Systems,know-adcare-health-systems-inc-220710170.html
1310,Addex Therapeutics,ADXN
1325,Addus HealthCare,ADUS
1344,Adeptus Health,ADPTQ
1347,Adesto Technologies,adesto-technologies-solid-internet-things-205801816.html
1423,ADMA Biologics,ADMA
1477,ADP (Automatic Data Processing),ADP
1507,Adslot,ADS.AX
1542,Aduro BioTech,news
1549,Advanced Accelerator Applications,advanced-accelerator-applications-aaap-focus-124112797.html
1563,Advanced Cell Technology,cancer-stem-cells-technologies-global-091800057.html
1591,Advanced Media,3773.T
1605,Advanced Photonix,advanced-photonix-announces-record-monthly-170422374.html
1631,Advaxis,adxs
1712,Aegerion Pharmaceuticals,novelion-therapeutics-announces-subsidiary-aegerion-025320504.html
1724,Aehr Test Systems,aehr
1739,Aerie Pharmaceuticals,aeri
1753,Aerohive Networks,does-aerohive-networks-inc-nyse-194107934.html
1761,Aeropostale,aro
1783,Aethlon Medical,AEMD
1800,Affimed Therapeutics,AFMD
1921,Agenus,agen
1946,Agile Therapeutics,AGRX
1979,Agios Pharmaceuticals,AGIO
2154,AirNet Communications,ANTE
2175,Airspan Networks,MIMO
2186,AirTouch Communications,history
2249,Akebia Therapeutics,akba
2316,Alarm.com,ALRM
2361,Alder Biopharmaceuticals,alder-biopharmaceuticals-sees-hammer-chart-142902636.html
2366,Aldeyra Therapeutics,ALDX
2398,Alexion Pharmaceuticals,alxn
2401,Alexza Pharmaceuticals,why-alexza-pharmaceuticals-alxa-stock-195907028.html
2436,Alibaba,baba
2448,Align Technology,ALGN
2464,Alimera Sciences,ALIM
2525,AllDigital,ADGL
2546,Allergy Therapeutics,agy.l
2578,Alliqua,alliqua-biomedical-ceo-provides-shareholders-140635789.html
2590,Allon Therapeutics,NPCUF
2609,The Allstate Corporation,ALL
2645,Alnylam Pharmaceuticals,ALNY
2663,Alpha and Omega Semiconductor,AOSL
2688,AlphaSmart,2004-08-31-the-alphasmart-neo-portable-word-processor.html
2690,Alphatec Spine,atec
2758,AltiGen Communications,ATGN
2786,Altran,ALTP.L
2795,Altus Pharmaceuticals,cadila-pharmaceuticals-altus-formulation-announce-120000018.html
2847,Amarin,AMRN
2853,Amaya Gaming,iiroc-halt-amaya-gaming-group-132400971.html
2854,amaysim,BRJ.F
2859,Amazon,AMZN
2861,Ambarella,AMBA
2867,Amber Road,amber-road-ambr-hits-52-133501204.html
2876,Ambient Corporation,ambient-corporation-announces-voluntary-filing-213500248.html
2886,Ambow Education,AMBO
2898,Amedica,MGP.L
2909,American Addiction Centers,support-groups
2922,American Cannabis Company,ammj
2923,American CareSource Holdings,GNOW
2926,American Dental Partners,american-dental-partners-selects-led-123000866.html
2928,American DG Energy,adge
2965,American Science and Engineering,american-science-engineering-asei-focus-060113171.html
2979,AmeriPath,DGX
2995,Amgen,AMGN
2999,Amiad,AFSLF
3008,Amicus Therapeutics,fold
3073,Ampio Pharmaceuticals,ampe
3088,AmpliPhi Biosciences,APPB
3107,ams AG,ams.SW
3112,AMSC,AMSC
3138,Amyris Biotechnologies,AMRS
3147,Anacor Pharmaceutical,ANAC
3150,Anaeco,ANQ.AX
3193,Ancestry,ancestry-com-inc-acom-zacks-050026339.html
3209,Anda,news
3250,Anesiva,rockwell-medical-inc-appoints-industry-203000804.html
3286,Angie's List,ANGI
3329,Animoca Brands Corporation,animoca-brands-leads-130m-investment-020009267.html
3408,ANTERIOS,v1
3416,Anthera Pharmaceuticals,ANTH
3423,Antibe Therapeutics,ATE.TO
3434,AntriaBio,antriabio-set-major-short-squeeze-154854835.html
3499,Aoxing Pharmaceutical,AOXG
3554,Apigee,APIC
3587,Apollo Commercial Real Estate Finance,ARI
3596,Aposense,bioasis-technologies-inc-aposense-enter-200500614.html
3681,Appfolio,APPF
3728,Apple,AAPL
3758,Applied DNA Sciences,apdn
3759,Applied Genetics Technologies Corporation,AGTC
3766,Applied Minerals,amnl
3770,Applied Optoelectronics,AAOI
3920,APR Energy,apr-energy-announces-north-american-122400609.html
3998,AquaBounty Technologies,AQB
4032,Aquinox Pharmaceuticals,imagine-owning-aquinox-pharmaceuticals-nasdaq-182445033.html
4059,Aratana Therapeutics,aratana-therapeutics-inc-nasdaq-petx-142545928.html
4080,ARCA biopharma,abio
4083,Arcadia Biosciences,rkda
4099,Arch Biopartners,ARCH.V
4164,Ardelyx,ARDX
4184,Arena Pharmaceuticals,ARNA
4188,Ares Commercial Real Estate Corporation,ACRE
4195,arGEN-X,argx
4199,Rewalk Robotics,RWLK
4207,Argos Therapeutics,args
4217,ARHT Media,art.v
4219,ARI Network Services,ari-network-services-inc-aris-123112338.html
4253,Arista Power,ASPW
4333,ArQule,arql
4338,Array BioPharma,Arry
4350,Arria NLG,arraf
4366,Arrowhead Research,ARWR
4446,Artisoft,http:%5E%5Ebiz.yahoo.com%5Ep%5E_techno-softwr.html
4496,ARYZTA AG,ARYN.SW
4523,Ascendis Pharma,ASND
4531,Ascent Solar Technologies,ASTI
4562,Asia Pacific Digital,DIG.AX
4607,Aspen Aerogels,aspn
4611,Aspen Technology,AZPN
4703,Asure Software,ASUR
4708,Click2learn,CLKS
4719,Atara Biotherapeutics,atra
4731,ATEME,ATEME.PA
4746,Athenahealth,athn
4754,Athersys,ATHX
4837,Atossa Genetics,ATOS
4848,AtriCure,atrc
4897,Attunity,attu
4900,aTyr Pharma,life
4933,Audience,finance.yahoo.com
4956,AudioEye,AEYE
5011,Aura Systems,ausi
5024,Auris Medical,1
5065,Authentidate Holding,adat
5111,AutoGenomics,global-genetic-testing-industry-063800060.html
5183,Avacta Group,AVCT.L
5193,Avalanche Biotech,avalanche-biotechnologies-inc-announces-positive-200200882.html
5202,Avalon Pharmaceuticals,"AVALON,PHARMACEUTICALS,INC"
5210,Avanco Resources,AVB.AX
5267,Aventine Renewable Energy Holdings,GCEH
5272,AVEO Pharmaceuticals,aveo
5320,Avinger,AVGR
5328,Avista,AVA
5362,Avrupa Minerals,avu.v
5420,Axcelis Technologies,ACLS
5424,AXEL MARK INC.,3624.T
5458,Axion Power International,AXPWQ
5469,AxoGen,AXGN
5690,BAE Systems,BA.L
5708,Baidu,BIDU
5724,Bakers Shoes,SHOE.L
5743,Ballard Power Systems,BLDP
5796,Bango,BGO.L
5843,Baozun Commerce,BZUN
5885,Barnes & Noble,BNED
5896,Barracuda Networks,cuda
5977,Bavarian Nordic,BAVA.CO
5981,Baxano Surgical,baxano-surgical-inc-baxs-focus-053154414.html
6006,Bazaarvoice,bazaarvoice-announces-majority-investment-thomas-154600855.html
6074,Beacon Power,bcon
6278,NetPosa Technologies,300367.SZ
6346,Bellicum Pharmaceuticals,BLCM
6391,Benefitfocus,BNFT
6442,Ekso Bionics,ekso
6501,Besunyen (Beijing Outsell Health),besunyen-beijing-outsell-health
6591,Beyond Commerce,BYOC
6617,BG Medicine,BGMD
6827,BIND Therapeutics,bind-therapeutics-bind-looks-good-130401792.html
6834,Bingo.com,8220.HK
6853,BIO-PATH HOLDINGS,BPTH
6861,BioAmber,bioamber-inc-nyse-bioa-financially-211916486.html
6862,BioAnalytical Systems,bioanalytical-systems-inc-announces-corporate-200500052.html
6874,BioBlast Pharma,top-investors-bioblast-pharma-ltd-194721005.html
6876,Biocartis,BCART.BR
6881,Biocept,BIOC
6895,BioCryst Pharmaceuticals,BCRX
6901,Biodel,history
6902,BioDelivery Sciences International,BDSI
6933,Bioheart,2185.HK
6941,Biolase,BIOL
6945,BioLight Israeli Life Sciences Investments Ltd,profile
6946,BiolineRx,blrx
6969,"BioMedical Technologies Solutions, Inc.",ABMT
6983,BioMimetic Therapeutics,BOTHE.BR
6986,Biomoda,global-tumor-cancer-markers-market-130500929.html
6999,BiondVax,BVXV
7022,BioPharmX,did-biopharmx-corporation-nysemkt-bpmx-163719710.html
7045,BioSante Pharmaceuticals,ANIP
7053,BioScrip,bioscrip-inc-bios-relatively-good-230227970.html
7081,Biota Holdings,bota
7090,Biotie Therapies,bth1v.he
7092,BioTime,history
7141,Birks & Mayors,profile
7164,Bitauto Holdings,BT6.F
7178,BTCS,BTCS
7359,BlackBerry,BB
7361,Blackboard,"BLACKBOARD,BCC"
7597,Blue Calypso,blue-calypso-inc-bcyp-ceo-191501866.html
7606,Blue Earth,BERI
7637,Blue Nile,NILE
7683,bluebird bio,BLUE
7706,Bluefly,BFLY
7741,BLUEPHOENIX,bphx
7745,Blueprint Medicines,bpmc
7798,blur Group,does-blur-group-plc-lon-093706699.html
7815,BMC Software,bmc
7829,BNY Mellon,BK
7878,Body Central,BODY
7894,Boingo Wireless,WIFI
7924,"Bombardier, Inc",bbd-b.to
8132,BOS Better On-Line Solutions,bosc
8170,Bottomline Technologies,EPAY
8201,Bovie Medical,BVX
8206,Box,BOX
8237,Boyaa Interactive,0434.HK
8285,Brainjuicer,BrainJuicer%20Group%20PLC
8305,BrainStorm Cell Therapeutics,BCLI
8306,Brainsway,BWAY
8496,Bridgeline Digital,BLIN
8544,Brightcove,BCOV
8575,BrightSource Energy,concentrated-solar-power-market-rise-060500109.html
8612,Bristol-Myers Squibb,BMY
8657,BroadSoft,exclusive-broadsoft-explores-options-including-182811924.html
8663,Brocade Communications Systems,BCSA.DE
8855,Bulletproof Group Limited,investors-know-bulletproof-group-limited-043021571.html
9098,C-Bridge Internet Solutions,BR
9200,Cafe Press,prss
9220,CalAmp,CAMP
9246,California Bank of Commerce,CALB
9261,Calithera Biosciences,CALA
9263,Calix,CALX
9280,CallidusCloud,calliduscloud-adds-predictive-sales-forecasting-220511870.html
9307,Calpian,ROXIF
9341,Cambridge Heart,CATC
9354,Cambridge Technology Partners (CTP),en.ctp.co.jp
9361,Camelot Information Systems,camelot-systems-2q-profit-slips-180736745.html
9439,Canadian Solar,CSIQ
9451,Cancer Genetics,CGIX
9472,CanFite BioPharma,CANF
9481,CannaSys,cannasys-inc-announces-stock-ticker-130000443.html
9633,Cara Therapeutics,CARA
9662,Carbonite,why-carbonite-stock-popped-17-230400132.html
9666,Carbylan Therapeutics,CBYL
9678,Cardax Pharma,cdxi
9696,Cardica,salud-sergio-ag%C3%BCero-arritmia-card%C3%ADaca-190000540.html
9701,Cardinal Health,CAH
9707,Cardio3 BioSciences,cardio3-biosciences-nouvelle-unit%C3%A9-production-065900309.html
9726,CardioNet,2012-10-26-cardionet-inc-to-release-third-quarter-2012-earnin.html
9738,Cardiovascular Systems,CSII
9739,Cardiovascular Systems,CSII
9745,Cardium Therapeutics,crxm
9752,Cardo Medical,ATRY.MC
9762,Cardtronic,transaction-cardtronics-expected-close-june-142200554.html
9766,Care.com,care-com-crcm-upgraded-buy-170005433.html
9819,CarePayment,CPYT
9865,Caribou Coffee Company,caribou-coffee-ceo-u-franchise-142107979.html
9929,Carrizo Oil & Gas,carrizo-oil-gas-inc-crzo-171617118.html
9991,CAS Medical Systems,edwards-lifesciences-takes-over-cas-122812796.html
10027,Casey's General Stores,CASY
10087,Castlight Health,CSLT
10094,Catabasis Pharmaceuticals,CATB
10177,Cavitation Technologies,cvat
10179,Cavium,CAVM
10225,CDEL,DEL
10226,CDEX,CDEX
10227,CDI,CDI.PA
10239,CDW Corporation,CDW
10251,Cedar Realty Trust,CDR
10266,CEL-SCI,CVM
10268,Celator Pharmaceuticals,why-celator-pharma-cpxx-stock-215909017.html
10303,Cell Therapeutics,LCTX
10307,Celladon,CLDN
10323,Celldex Therapeutics,cldx
10325,Cellectis,ALCLS.PA
10388,Celsion,CLSN
10390,Akari Therapeutics,aktx
10403,Cempra,SRE
10415,Centene Corporation,CNC
10465,CenturyLink,CYT.SG
10485,Ceragon Networks,CRNT
10494,Cerecor,CERC
10498,Cerenis Therapeutics,0RAG.L
10500,Ceres,cwr.l
10541,Cerulean Pharma,CERU
10542,Cerus Corporation,CERS
10558,CFBank,cfbk
10614,Champions Oncology,CSBR
10648,ChannelAdvisor,ECOM
10692,CHARLES & COLVARD LTD,CTHR
10694,Charles River Laboratories International,CRL
10708,Charter Communications,CHTR
10757,Check-Cap,chek
10759,Check Point Software Technologies,CHKP
10803,Chegg,CHGG
10821,ChemoCentryx,CCXI
10849,Chesswood Group,CHW.TO
10865,Chiasma,chma
10899,Chimerix,CMRX
10904,China Biologic Products,CBPO
10913,China Intelligent Transport System Group,002355.SZ
10931,ChinaCache,ccih
10935,ChinaNet Online Holdings,CNET
10939,Alibaba Pictures Group Limited,1060.HK
11021,ChromaDex,CDXC
11093,Cidara Therapeutics,CDTX
11126,Cinedigm,CIDM
11235,Cisco,CSCO
11303,CityFibre,uks-cityfibre-create-10-000-230215998.html
11494,Clean TeQ,4CQ.BE
11620,Cleveland BioLabs,CBLI
11724,Clinical Data,insights-clinical-data-management-system-094300673.html
11838,Cloud Security,cloud-security-market-worth-68-163000662.html
11989,Clovis Oncology,CLVS
12046,CMGE,0302.hk
12063,CNS Response,CNS
12161,Code Rebel,CDRBQ
12218,Codexis,CDXS
12248,Cogeco Cable,CCA.TO
12251,Cogent Communications Group,ccoi
12309,Coherus Biosciences,CHRS
12452,Collegium Pharmaceutical,COLL
