,name,name_ticker,lenticker,description
0,21viaNet,VNET,4.0,"VNET Group, Inc., an investment holding company, provides hosting and related services to Internet companies, government entities, blue-chip enterprises, and small-to mid-sized enterprises in the People's Republic of China. It offers hosting and related services to house servers and networking equipment in its data centers, and connects them through a data transmission network. The company's hosting and related services include managed hosting services that offer data center space to house its customers' servers and networking equipment, and provide tailored server administration services; and interconnectivity services that enable customers to connect their servers with internet backbones and other networks through its border gateway protocol network or single-line, dual-line, or multiple-line network. Its hosting and related services also comprise cloud services that enable businesses to run their applications over the internet using its IT infrastructure; virtual private network services; hybrid IT Services, which provide customers with a complete package of infrastructure service offerings; and other value-added services, such as firewall, server load balancing, data backup and recovery, data center management, server management, and backup server services. In addition, the company provides traffic charts and analysis, gateway monitoring for servers, domain name system setup, defense mechanism against distributed denial of service attacks, basic setting of switches and routers, and virus protections; and managed network service. As of December 31, 2020, it operated 32 self-built data centers housing 49,876 cabinets and 52 partnered data centers housing with 3,677 cabinets. It has a strategic partnership with Microsoft Corporation. The company was formerly known as 21Vianet Group, Inc. and changed its name to VNET Group, Inc. in October 2021. VNET Group, Inc. was founded in 1999 and is headquartered in Beijing, the People's Republic of China."
1,22nd Century Group,XXII,4.0,"22nd Century Group, Inc., a biotechnology company, develops plant-based solutions for the life science, consumer product, and pharmaceutical markets. It develops very low nicotine content tobacco and cigarette products under the Moonlight and Moonlight Menthol names; and SPECTRUM research cigarettes for use in independent clinical studies. 22nd Century Group, Inc. has collaboration with Keygene N.V. to develop hemp/cannabis plants for exceptional cannabinoid profiles and other superior agronomic traits for medical, therapeutic, and agricultural uses, as well as other applications. 22nd Century Group, Inc. was founded in 1998 and is headquartered in Buffalo, New York."
2,2U Inc.,TWOU,4.0,"2U, Inc. operates as an education technology company in the United States, Hong Kong, South Africa, and the United Kingdom. The company operates in two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online short courses, and technical and skills-based boot camps through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill through shorter duration and lower-priced offerings. It also provides 2UOS, a platform that provides front-end and back-end cloud-based SaaS technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was founded in 2008 and is headquartered in Lanham, Maryland."
3,3D Systems,DDD,3.0,"3D Systems Corporation, through its subsidiaries, provides 3D printing and digital manufacturing solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company offers 3D printers, such as stereolithography, selective laser sintering, direct metal printing, multi jet printing, and color jet printers that transform digital data input generated by 3D design software, computer aided design (CAD) software, or other 3D design tools into printed parts under the Accura, DuraForm, LaserForm, CastForm, and VisiJet brand names. It also develops, blends, and markets various print materials, such as plastic, nylon, metal, composite, elastomeric, wax, polymeric dental, and Class IV bio-compatible materials. In addition, the company provides digital design tools, including software, scanners, and haptic devices, as well as solutions for product design, mold and die design, 3D scan-to-print, reverse engineering, production machining, metrology, and inspection under the Geomagic brand. Further, it offers 3D Sprint and 3DXpert, a proprietary software to prepare and optimize CAD data and manage the additive manufacturing processes, which provides automated support building and placement, build platform management, and print queue management; and 3D virtual reality simulators and simulator modules for medical applications under the Simbionix brand, and digitizing scanners for medical and mechanical applications. Additionally, the company provides warranty, maintenance, and training services; on-demand manufacturing solutions; and software and precision healthcare services. It primarily serves companies and small and midsize businesses in medical, dental, automotive, aerospace, durable good, government, defense, technology, jewelry, electronic, education, consumer good, energy, and other industries through direct sales force, as well as partner channels and distributors. The company was founded in 1986 and is headquartered in Rock Hill, South Carolina."
6,6D Global Technologies,SIXD,4.0,"6D Global Technologies, Inc. provides digital business solutions serving the digital marketing and technology needs of global organizations worldwide. The company's service portfolio includes mobile application development, digital and content management, marketing data analysis, marketing and creative solutions, and information technology (IT) infrastructure staffing. It provides Web content management, Web analytics, marketing automation, mobile applications, business intelligence, and marketing cloud services. The company also offers contract and contract-to-hire IT professional staffing services. It serves the Fortune 500 commercial, nonprofit, and public sector enterprises in various industries comprising healthcare, consumer, education, manufacturing, and high tech sectors. 6D Global Technologies, Inc. is headquartered in New York, New York."
7,8x8 Inc,EGHT,4.0,"8x8, Inc. provides voice, video, chat, contact center, and enterprise-class application programmable interface (API) Software-as-a-Service solutions for small and mid-size businesses, mid-market and larger enterprises, government agencies, and other organizations worldwide. It offers unified communications, team collaboration, video conferencing, contact center, data and analytics, communication APIs, and other services. The company provides 8x8 Work, a self-contained end-to-end united communications solution that delivers enterprise voice with public switched telephone network connectivity, video meetings, and unified messaging; 8x8 Contact Center, a multi-channel cloud-based contact center solution; and 8x8 Meet, a cloud-based video conferencing and collaboration solution that enables secure and continuous collaboration with borderless high definition video and audio communications from mobile and desktop devices. It also offers 8x8 Team Messaging, an integrated open team messaging platform, which facilitate modern modes of communication with support for direct messages, public and private team messaging rooms, short messaging service, presence, emojis, and Â@ mentions'; 8x8 CPaaS, a set of global communications Platform-as-a-Service; and X1 through X4 and X5 through X8, which provide enterprise-grade voice, unified communications, and video meetings and team collaboration, and contact centre solutions. The company markets its services to end users through search engine marketing and optimization, third-party lead generation sources, industry conferences, trade shows, Webinars, and digital advertising channels, as well as direct sales organization. 8x8, Inc. was incorporated in 1987 and is headquartered in Campbell, California."
8,A10 Networks,ATEN,4.0,"A10 Networks, Inc. provides networking solutions in the United States, Japan, other Asia Pacific, and EMEA countries. The company offers Thunder Application Delivery Controller (ADC) that provides advanced server load balancing; Lightning ADC, a cloud-native software-as-a-service platform to boost the delivery and security of applications and micro services; and Thunder Carrier Grade Networking product, which offers standards-compliant address and protocol translation services for service provider networks. It also provides Thunder Threat Protection System (TPS) for the protection of networks and server resources against massive distributed denial of service attacks; Thunder Secure Sockets Layer (SSL) Insight solution that decrypts SSL-encrypted traffic and forwards it to a third-party security device for deep packet inspection; and Thunder Convergent Firewall, which addresses various critical security capabilities in one package by consolidating various security and networking functions in a single appliance. In addition, the company offers intelligent management and automation tools comprising harmony controller that provides intelligent management, automation, and analytics for secure application delivery in multi-cloud environment; and aGalaxy TPS, a multi-device network management solution. The company delivers its solutions on optimized hardware appliances, bare metal software, containerized software, virtual appliances, and cloud-native software. It serves cloud providers, service providers, government organizations, and enterprises in the telecommunications, technology, industrial, retail, government, financial, gaming, and education industries. The company markets its products through sales organizations, as well as distribution channel partners, including distributors, value added resellers, and system integrators. A10 Networks, Inc. was incorporated in 2004 and is headquartered in San Jose, California."
11,AAC Technologies Holdings,AACAY,5.0,"AAC Technologies Holdings Inc., an investment holding company, provides solutions to enhance user experience of smart mobile devices in Mainland China, Hong Kong SAR, Taiwan, other Asian countries, the United States, and Europe. It operates through Dynamic Components, Electromagnetic Drives and Precision Mechanics, Optics Products, Micro Electro-Mechanical System Components, and Other Products segments. The company researches, develops, manufactures, and sells acoustic products, electronic components, tooling and precision components, and electronics related accessories and components; and offers electroplating services. Its products include stereo sound, glass and metal processing, haptic, optic, digital microphone, and RF antenna products. The company was formerly known as AAC Acoustic Technologies Holdings Inc. and changed its name to AAC Technologies Holdings Inc. in May 2011. AAC Technologies Holdings Inc. was founded in 1993 and is headquartered in Shenzhen, the People's Republic of China."
12,Aastrom Biosciences,astm,4.0,
13,Abattis Bioceuticals,attbf,5.0,"Abattis Bioceuticals Corp. operates as a life sciences and biotechnology company in Canada. The company develops and licenses natural health products, medicines, extractions, and ingredients for the biological, nutraceutical, bioceutical, and cosmetic markets. It also provides Comfort, a cannabinoid enhanced nutraceutical for pain and inflammation; and Health-Canada licensed services for the cannabis industry. The company was formerly known as Abattis Biologix Corporation and changed its name to Abattis Bioceuticals Corporation in September 2012. Abattis Bioceuticals Corp. was incorporated in 1997 and is headquartered in Vancouver, Canada."
